STE_CODE_2016,Pre_school_M,Pre_school_F,Pre_school_P,Infants_Primary_Government_M,Infants_Primary_Government_F,Infants_Primary_Government_P,Infants_Primary_Catholic_M,Infants_Primary_Catholic_F,Infants_Primary_Catholic_P,Infnts_Primry_Othr_Non_Govt_M,Infnts_Primry_Othr_Non_Govt_F,Infnts_Primry_Othr_Non_Govt_P,Infants_Primary_Tot_M,Infants_Primary_Tot_F,Infants_Primary_Tot_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_Non_Govt_M,Secondary_Other_Non_Govt_F,Secondary_Other_Non_Govt_P,Secondary_Tot_M,Secondary_Tot_F,Secondary_Tot_P,Tec_Furt_Educ_inst_Ft_15_24_M,Tec_Furt_Educ_inst_Ft_15_24_F,Tec_Furt_Educ_inst_Ft_15_24_P,Tec_Furt_Educ_inst_Ft_25_ov_M,Tec_Furt_Educ_inst_Ft_25_ov_F,Tec_Furt_Educ_inst_Ft_25_ov_P,Tec_Furt_Educ_inst_Pt_15_24_M,Tec_Furt_Educ_inst_Pt_15_24_F,Tec_Furt_Educ_inst_Pt_15_24_P,Tec_Furt_Educ_inst_Pt_25_ov_M,Tec_Furt_Educ_inst_Pt_25_ov_F,Tec_Furt_Educ_inst_Pt_25_ov_P,Tec_Furt_Educ_inst_F_Pt_ns_M,Tec_Furt_Educ_inst_F_Pt_ns_F,Tec_Furt_Educ_inst_F_Pt_ns_P,Tec_Furt_Educ_inst_Tot_M,Tec_Furt_Educ_inst_Tot_F,Tec_Furt_Educ_inst_Tot_P,Uni_othr_Tert_Inst_Ft_15_24_M,Uni_othr_Tert_Inst_Ft_15_24_F,Uni_othr_Tert_Inst_Ft_15_24_P,Uni_othr_Tert_Inst_Ft_25_ov_M,Uni_othr_Tert_Inst_Ft_25_ov_F,Uni_othr_Tert_Inst_Ft_25_ov_P,Uni_othr_Tert_Inst_Pt_15_24_M,Uni_othr_Tert_Inst_Pt_15_24_F,Uni_othr_Tert_Inst_Pt_15_24_P,Uni_othr_Tert_Inst_Pt_25_ov_M,Uni_othr_Tert_Inst_Pt_25_ov_F,Uni_othr_Tert_Inst_Pt_25_ov_P,Uni_othr_Tert_Inst_F_Pt_ns_M,Uni_othr_Tert_Inst_F_Pt_ns_F,Uni_othr_Tert_Inst_F_Pt_ns_P,Uni_other_Tert_Instit_Tot_M,Uni_other_Tert_Instit_Tot_F,Uni_other_Tert_Instit_Tot_P,Othr_typ_educ_inst_Ft_stud_M,Othr_typ_educ_inst_Ft_stud_F,Othr_typ_educ_inst_Ft_stud_P,Othr_typ_educ_inst_Pt_stud_M,Othr_typ_educ_inst_Pt_stud_F,Othr_typ_educ_inst_Pt_stud_P,Oth_typ_ed_instit_F_Pt_ns_M,Oth_typ_ed_instit_F_Pt_ns_F,Oth_typ_ed_instit_F_Pt_ns_P,Other_type_educ_instit_Tot_M,Other_type_educ_instit_Tot_F,Other_type_educ_instit_Tot_P,Type_educanl_institution_ns_M,Type_educanl_institution_ns_F,Type_educanl_institution_ns_P,Tot_M,Tot_F,Tot_P
1,69074,62969,132047,215390,202074,417465,61456,60637,122099,34787,32819,67611,311633,295536,607171,136348,132910,269249,59322,58369,117689,40419,39496,79915,236087,230771,466858,10637,11719,22356,9415,16601,26015,23906,13194,37100,21209,35973,57178,732,707,1445,65909,78196,144103,91510,106327,197840,33631,38320,71955,11513,13913,25427,30444,48855,79296,711,903,1613,167817,208318,376133,10728,13450,24175,13528,25006,38531,389,573,958,24639,39028,63673,269916,265351,535266,1145077,1180162,2325241
2,49380,45587,94970,162852,151027,313881,51860,50916,102778,25692,26349,52041,240402,228296,468702,103536,97636,201166,43643,45360,88999,36511,37462,73973,183685,180457,364142,13024,12418,25440,8251,12512,20768,14771,7412,22178,14413,19964,34373,502,422,925,50951,52733,103685,85336,99922,185256,29274,34412,63689,7297,9692,16989,21513,36314,57827,532,755,1289,143954,181094,325051,10046,11910,21950,12663,23989,36650,376,522,898,23078,36418,59498,205462,207734,413199,896923,932323,1829240
3,29424,27216,56639,143027,133438,276468,37005,36838,73844,25231,24969,50202,205259,195251,400511,90392,85747,176138,32321,30755,63080,29571,29361,58927,152283,145862,298146,6335,7484,13823,5171,10381,15551,8429,7433,15870,10599,20491,31090,308,348,657,30849,46138,76992,46004,59414,105412,18125,24349,42468,5568,8557,14129,18086,32394,50483,291,436,730,88080,125146,213221,5599,7342,12943,7965,16048,24014,255,301,556,13825,23688,37517,185561,175327,360888,705280,738625,1443913
4,10412,9880,20292,49026,45501,94526,13268,12932,26196,11329,11253,22589,73621,69685,143307,27086,25631,52721,9601,9881,19484,10572,10482,21053,47262,45996,93259,2648,2754,5410,2431,4180,6608,3360,2713,6074,4877,8164,13043,128,126,259,13445,17943,31394,18839,22955,41795,7604,9155,16761,1890,2475,4368,5717,9843,15559,110,188,296,34162,44621,78780,1798,2241,4044,2554,4711,7274,84,100,188,4439,7062,11501,53947,52488,106438,237292,247666,484956
5,15645,14605,30247,75089,69898,144988,18532,18336,36865,14043,14001,28046,107654,102235,209889,45471,42701,88176,16923,17144,34065,17351,17419,34773,79743,77271,157010,5409,4891,10302,3761,5808,9567,5972,3688,9663,6270,10609,16882,222,197,418,21640,25197,46835,24753,28749,53499,9524,11967,21494,3086,4243,7324,8989,15060,24051,178,274,447,46521,60290,106811,3004,3423,6428,4055,7778,11840,134,144,278,7195,11345,18547,105174,92475,197644,383579,383416,766992
6,1933,1803,3736,16197,15035,31234,4012,4064,8077,2266,2196,4467,22482,21298,43778,9339,8635,17971,3237,3398,6630,2438,2401,4840,15019,14430,29443,1570,1633,3200,589,1028,1619,1291,888,2184,1343,2196,3543,48,37,86,4837,5789,10630,3637,4204,7839,1911,2210,4118,368,575,938,1704,3584,5281,24,42,68,7641,10609,18250,397,511,910,630,1214,1844,31,26,54,1059,1755,2810,19012,19314,38329,71978,74988,146972
7,1869,1841,3707,7833,7326,15160,1388,1244,2632,1287,1280,2570,10512,9844,20355,4247,3984,8233,1081,990,2070,1403,1502,2911,6738,6475,13208,170,129,303,143,212,351,344,268,608,625,1106,1728,24,23,49,1308,1737,3045,728,929,1659,699,1096,1801,243,438,677,1252,2612,3864,15,29,43,2946,5103,8054,205,209,417,383,816,1199,24,22,43,613,1042,1655,17636,13704,31342,41622,39742,81367
8,3109,2791,5904,10719,10011,20728,4216,3906,8123,2002,1964,3969,16944,15882,32822,6909,6704,13606,3295,3074,6372,2066,2139,4207,12269,11918,24186,597,606,1205,593,777,1374,1183,768,1949,1438,2155,3596,29,24,51,3835,4329,8163,8148,9004,17152,3390,3127,6518,765,976,1742,3685,5096,8780,43,51,93,16021,18265,34291,459,441,895,740,1487,2230,14,20,39,1214,1948,3165,11803,11325,23127,65201,66463,131655
9,44,34,74,176,167,348,0,0,0,4,0,4,177,167,345,113,127,240,0,0,3,0,9,6,118,130,247,0,0,0,3,4,6,8,0,10,9,8,17,0,0,0,19,14,36,3,4,4,3,7,4,0,0,0,8,11,25,0,0,0,18,24,42,7,3,9,0,9,12,0,3,3,14,18,27,541,255,802,934,642,1571
