STE_CODE_2016,Age_yr_55_P,Age_yr_56_M,Age_yr_56_F,Age_yr_56_P,Age_yr_57_M,Age_yr_57_F,Age_yr_57_P,Age_yr_58_M,Age_yr_58_F,Age_yr_58_P,Age_yr_59_M,Age_yr_59_F,Age_yr_59_P,Age_yr_55_59_M,Age_yr_55_59_F,Age_yr_55_59_P,Age_yr_60_M,Age_yr_60_F,Age_yr_60_P,Age_yr_61_M,Age_yr_61_F,Age_yr_61_P,Age_yr_62_M,Age_yr_62_F,Age_yr_62_P,Age_yr_63_M,Age_yr_63_F,Age_yr_63_P,Age_yr_64_M,Age_yr_64_F,Age_yr_64_P,Age_yr_60_64_M,Age_yr_60_64_F,Age_yr_60_64_P,Age_yr_65_M,Age_yr_65_F,Age_yr_65_P,Age_yr_66_M,Age_yr_66_F,Age_yr_66_P,Age_yr_67_M,Age_yr_67_F,Age_yr_67_P,Age_yr_68_M,Age_yr_68_F,Age_yr_68_P,Age_yr_69_M,Age_yr_69_F,Age_yr_69_P,Age_yr_65_69_M,Age_yr_65_69_F,Age_yr_65_69_P,Age_yr_70_M,Age_yr_70_F,Age_yr_70_P,Age_yr_71_M,Age_yr_71_F,Age_yr_71_P,Age_yr_72_M,Age_yr_72_F,Age_yr_72_P,Age_yr_73_M,Age_yr_73_F,Age_yr_73_P,Age_yr_74_M,Age_yr_74_F,Age_yr_74_P,Age_yr_70_74_M,Age_yr_70_74_F,Age_yr_70_74_P,Age_yr_75_M,Age_yr_75_F,Age_yr_75_P,Age_yr_76_M,Age_yr_76_F,Age_yr_76_P,Age_yr_77_M,Age_yr_77_F,Age_yr_77_P,Age_yr_78_M,Age_yr_78_F,Age_yr_78_P,Age_yr_79_M,Age_yr_79_F,Age_yr_79_P,Age_yr_75_79_M,Age_yr_75_79_F,Age_yr_75_79_P,Age_yr_80_84_M,Age_yr_80_84_F,Age_yr_80_84_P,Age_yr_85_89_M,Age_yr_85_89_F,Age_yr_85_89_P,Age_yr_90_94_M,Age_yr_90_94_F,Age_yr_90_94_P,Age_yr_95_99_M,Age_yr_95_99_F,Age_yr_95_99_P,Age_yr_100_yr_over_M,Age_yr_100_yr_over_F,Age_yr_100_yr_over_P,Tot_M,Tot_F,Tot_P
1,99161,46265,48931,95190,45278,47437,92712,44630,47751,92386,43942,46326,90268,228777,240946,469726,43091,44892,87989,41626,44112,85737,40530,43041,83571,40355,42645,83000,38680,41067,79746,204285,215760,420044,38558,40388,78945,37973,39622,77595,36383,38107,74494,37077,38123,75202,38372,39859,78232,188363,196098,384470,32140,33552,65699,30386,31890,62279,29251,30716,59963,25390,27500,52890,24930,26784,51715,142102,150452,292556,23005,25252,48259,21910,24016,45927,20319,23064,43386,18823,21826,40647,17972,21109,39080,102028,115280,217308,68882,86922,155806,42326,63883,106205,16125,32482,48605,3116,8556,11673,192,830,1022,3686014,3794217,7480228
2,75407,35256,37659,72910,34791,36486,71276,33749,36360,70112,32816,35089,67904,173172,184447,357616,33138,34893,68033,31286,33759,65047,30308,32908,63219,30205,32512,62719,29466,31368,60827,154397,165445,319840,28914,31318,60232,28093,30550,58646,27233,29216,56447,27069,29470,56543,28775,30749,59523,140089,151307,291397,24099,25375,49473,22053,23733,45785,21049,23198,44255,18746,20511,39259,18787,20644,39432,104739,113466,218203,17365,19110,36477,16372,18548,34923,15435,17602,33039,14242,17023,31263,13498,15913,29413,76920,88198,165115,52533,67356,119895,32454,48804,81260,12431,24292,36724,2414,6436,8853,259,898,1152,2908077,3018549,5926624
3,62164,29192,30453,59646,28447,29777,58225,27690,29325,57012,26991,28159,55151,142727,149472,292198,26679,27799,54483,25810,26988,52800,24913,26564,51472,25128,26273,51402,25029,25503,50534,127555,133128,260685,24549,25229,49781,23878,25029,48905,23600,23898,47497,23181,23586,46770,24464,24779,49244,119667,122526,242192,20318,20389,40705,19401,19960,39368,17975,18575,36548,15667,16395,32065,15565,16162,31729,88925,91484,180406,14183,14712,28893,13256,13944,27201,12121,13146,25267,11055,11932,22988,10208,11521,21728,60824,65259,126084,37883,45851,83731,21791,32752,54547,8109,16163,24273,1700,4300,5998,172,544,712,2321889,2381308,4703193
4,23464,11097,11646,22738,10883,11561,22445,10711,11055,21768,10397,11091,21489,54667,57228,111896,10280,10888,21169,10156,10431,20585,9731,10516,20239,9764,10516,20282,9571,10182,19752,49499,52525,102028,9426,10305,19733,9415,9913,19329,9161,9654,18814,8970,9488,18462,9673,10279,19958,46649,49640,96286,7829,8453,16279,7432,8134,15568,6933,7625,14565,6363,6995,13357,6109,6683,12794,34666,37896,72563,5515,6220,11737,5184,6060,11248,5084,5894,10981,4714,5516,10231,4502,5185,9686,25008,28879,53885,17432,21938,39374,11025,16663,27688,4356,8906,13264,871,2313,3185,94,258,350,825997,850652,1676653
5,31942,15191,15648,30839,14782,15052,29834,14335,14650,28983,13980,14312,28296,74118,75781,149899,14081,14291,28371,13006,13821,26829,12805,13415,26227,12519,13160,25677,12423,12620,25037,64835,67311,132145,12263,12310,24568,11513,11934,23447,11183,11531,22708,11342,11256,22601,11605,11829,23431,57906,58856,116755,9135,9262,18396,8542,8767,17305,8479,8640,17118,7272,7700,14968,7428,7688,15118,40855,42054,82911,6490,7143,13630,6228,6852,13084,5882,6514,12395,5479,6206,11688,4975,5744,10715,29057,32451,61509,18803,23782,42590,11004,16182,27185,4017,8023,12042,785,2206,2987,43,166,203,1238419,1235994,2474410
6,7835,3616,3946,7554,3593,3861,7456,3671,3673,7341,3440,3754,7198,18075,19309,37378,3617,3661,7275,3372,3500,6878,3221,3590,6818,3381,3555,6935,3403,3472,6873,16993,17781,34778,3326,3437,6766,3206,3407,6618,3068,3247,6309,3134,3226,6362,3443,3448,6889,16175,16768,32945,2645,2814,5460,2482,2718,5201,2519,2534,5049,2192,2222,4411,2060,2254,4310,11894,12539,24434,1914,2109,4028,1825,1939,3762,1665,1818,3482,1547,1767,3311,1385,1644,3030,8332,9279,17613,5347,6648,11994,3042,4525,7566,1086,2302,3388,210,535,744,16,55,67,249478,260482,509965
7,2899,1365,1298,2669,1304,1242,2543,1218,1225,2440,1188,1142,2332,6602,6289,12886,1262,1162,2429,1162,1010,2171,1045,987,2032,1056,903,1961,979,838,1817,5505,4899,10407,893,836,1728,853,736,1588,789,653,1440,718,587,1306,749,551,1296,3999,3364,7364,572,521,1088,520,399,923,428,388,816,384,344,731,402,339,745,2311,1985,4300,385,314,698,335,285,622,210,194,401,223,214,434,170,188,362,1317,1197,2516,569,688,1258,291,378,666,78,137,215,18,35,49,0,0,4,118570,110266,228833
8,4781,2244,2368,4613,2112,2314,4423,2097,2272,4369,2009,2164,4174,10794,11559,22357,1955,2164,4119,1796,2040,3835,1832,1914,3744,1820,1976,3795,1715,1939,3654,9109,10037,19144,1651,1875,3527,1684,1760,3451,1606,1792,3397,1587,1791,3379,1678,1860,3535,8212,9078,17285,1410,1468,2880,1182,1366,2544,1107,1307,2417,1013,1159,2172,1020,1136,2154,5737,6435,12168,854,1064,1921,858,948,1801,793,896,1694,744,869,1619,644,848,1493,3901,4623,8519,2541,3292,5839,1554,2252,3804,621,1255,1878,135,287,422,14,39,52,195739,201653,397397
9,71,47,38,80,35,38,73,40,37,77,36,37,72,195,184,376,37,38,73,29,31,60,37,31,71,32,31,64,29,28,60,166,162,335,40,27,74,45,32,83,27,27,61,25,12,36,28,17,49,173,124,295,24,24,43,20,20,33,20,12,32,26,17,42,10,12,23,92,86,180,20,14,30,10,9,23,22,15,31,10,14,18,3,6,12,66,54,122,26,38,68,20,16,34,3,10,14,0,3,9,0,0,0,2462,2120,4587
