STE_CODE_2016,CF_C_BPBO_DC_0_4,CF_C_BPBO_DC_5_9,CF_C_BPBO_DC_10_12,CF_C_BPBO_DC_13_14,CF_C_BPBO_DC_15_17,CF_C_BPBO_DC_18_20,CF_C_BPBO_DC_21_24,CF_C_BPBO_Tot,CF_C_FBO_DC_0_4,CF_C_FBO_DC_5_9,CF_C_FBO_DC_10_12,CF_C_FBO_DC_13_14,CF_C_FBO_DC_15_17,CF_C_FBO_DC_18_20,CF_C_FBO_DC_21_24,CF_C_FBO_Tot,CF_C_MBO_DC_0_4,CF_C_MBO_DC_5_9,CF_C_MBO_DC_10_12,CF_C_MBO_DC_13_14,CF_C_MBO_DC_15_17,CF_C_MBO_DC_18_20,CF_C_MBO_DC_21_24,CF_C_MBO_Tot,CF_C_BPBAu_DC_0_4,CF_C_BPBAu_DC_5_9,CF_C_BPBAu_DC_10_12,CF_C_BPBAu_DC_13_14,CF_C_BPBAu_DC_15_17,CF_C_BPBAu_DC_18_20,CF_C_BPBAu_DC_21_24,CF_C_BPBAu_Tot,CF_C_BP_NS_DC_0_4,CF_C_BP_NS_DC_5_9,CF_C_BP_NS_DC_10_12,CF_C_BP_NS_DC_13_14,CF_C_BP_NS_DC_15_17,CF_C_BP_NS_DC_18_20,CF_C_BP_NS_DC_21_24,CF_C_BP_NS_Tot,CF_C_Tot_DC_0_4,CF_C_Tot_DC_5_9,CF_C_Tot_DC_10_12,CF_C_Tot_DC_13_14,CF_C_Tot_DC_15_17,CF_C_Tot_DC_18_20,CF_C_Tot_DC_21_24,CF_C_Tot_Tot,One_PF_BPBO_DC_0_4,One_PF_BPBO_DC_5_9,One_PF_BPBO_DC_10_12,One_PF_BPBO_DC_13_14,One_PF_BPBO_DC_15_17,One_PF_BPBO_DC_18_20,One_PF_BPBO_DC_21_24,One_PF_BPBO_Tot,One_PF_FBO_DC_0_4,One_PF_FBO_DC_5_9,One_PF_FBO_DC_10_12,One_PF_FBO_DC_13_14,One_PF_FBO_DC_15_17,One_PF_FBO_DC_18_20,One_PF_FBO_DC_21_24,One_PF_FBO_Tot,One_PF_MBO_DC_0_4,One_PF_MBO_DC_5_9,One_PF_MBO_DC_10_12,One_PF_MBO_DC_13_14,One_PF_MBO_DC_15_17,One_PF_MBO_DC_18_20,One_PF_MBO_DC_21_24,One_PF_MBO_Tot,One_PF_BPBAu_DC_0_4,One_PF_BPBAu_DC_5_9,One_PF_BPBAu_DC_10_12,One_PF_BPBAu_DC_13_14,One_PF_BPBAu_DC_15_17,One_PF_BPBAu_DC_18_20,One_PF_BPBAu_DC_21_24,One_PF_BPBAu_Tot,One_PF_BP_NS_DC_0_4,One_PF_BP_NS_DC_5_9,One_PF_BP_NS_DC_10_12,One_PF_BP_NS_DC_13_14,One_PF_BP_NS_DC_15_17,One_PF_BP_NS_DC_18_20,One_PF_BP_NS_DC_21_24,One_PF_BP_NS_Tot,One_PF_Tot_DC_0_4,One_PF_Tot_DC_5_9,One_PF_Tot_DC_10_12,One_PF_Tot_DC_13_14,One_PF_Tot_DC_15_17,One_PF_Tot_DC_18_20,One_PF_Tot_DC_21_24,One_PF_Tot_Tot,Tot_DC_0_4,Tot_DC_5_9,Tot_DC_10_12,Tot_DC_13_14,Tot_DC_15_17,Tot_DC_18_20,Tot_DC_21_24,Tot_Tot
1,110750,103254,53598,34569,50020,33760,18221,404170,33618,34407,18929,11467,14822,6405,2938,122599,32474,30384,15173,9068,11964,5262,2512,106842,194164,198379,111272,69491,88926,30978,13279,706486,1996,2097,1125,759,654,230,95,6951,373002,368524,200107,125360,166384,76630,37056,1347052,8310,12950,9531,7341,11627,7682,4689,62131,6023,8372,5473,3949,5262,1951,969,31995,3160,5328,3593,2619,3696,1479,759,20642,39745,51928,32666,22338,28405,7722,3362,186159,2617,2680,1603,1013,981,269,124,9279,59855,81247,52863,37263,49971,19102,9911,310205,432859,449770,252964,162619,216357,95731,46964,1657262
2,94966,81642,42078,26079,37531,26061,14074,322429,24800,24125,13266,8022,11174,5791,2926,90107,24503,21825,10969,6751,9249,4853,2462,80611,158727,159800,89990,56464,75382,32920,14534,587816,1599,1570,863,548,505,206,99,5382,304597,288958,157162,97856,133840,69836,34097,1086344,8011,11303,7906,6020,9646,6546,3984,53411,3980,5690,3773,2777,4000,1912,981,23110,2353,3691,2511,1760,2711,1331,751,15103,24605,34615,22795,16308,22434,8532,3793,133080,1949,1914,1158,814,754,295,133,7019,40897,57215,38145,27686,39534,18620,9640,231727,345497,346170,195304,125542,173367,88448,43737,1318077
3,45090,45361,26028,16704,22514,9581,4580,169854,20288,20154,11064,6749,8500,2689,1037,70486,21192,19979,10351,6181,7969,2475,1047,69198,139856,145750,81741,50295,62959,16549,6618,503767,1233,1184,731,480,420,83,34,4165,227662,232428,129913,80399,102366,31382,13319,817467,4404,6836,5163,3873,5587,2501,1331,29699,4526,6344,3859,2627,3372,875,424,22021,2903,4732,2997,2073,2913,799,398,16816,31468,43300,26841,17878,21391,4513,2053,147441,1642,1742,997,621,599,100,41,5743,44949,62956,39858,27070,33856,8789,4242,221721,272611,295384,169774,107467,136229,40167,17557,1039185
4,16660,14856,8281,5213,7540,4589,2377,59519,4954,5138,3079,2144,3021,1418,772,20529,5201,4707,2607,1686,2450,1154,646,18457,49598,50126,27616,17429,23163,8467,3806,180212,400,385,242,147,137,40,9,1358,76822,75208,41820,26625,36319,15674,7608,280074,1446,2002,1513,1196,1895,1188,703,9947,1172,1579,1089,829,1271,528,296,6768,601,1027,729,560,958,412,222,4522,10138,14018,8760,6182,8169,2541,1168,50974,561,624,404,234,201,68,25,2118,13930,19246,12489,9001,12497,4744,2415,74325,90748,94458,54312,35620,48819,20414,10027,354397
5,40477,38955,22078,14187,20178,10116,5018,151011,13330,12607,6867,4246,5850,2086,946,45934,14093,12537,6362,3752,5207,2053,889,44887,61553,61965,33087,19509,24455,7462,3168,211197,667,649,363,258,233,71,26,2265,130124,126704,68751,41946,55931,21786,10041,455288,2965,4502,3287,2498,4079,1989,1214,20535,2251,3073,1944,1467,2001,677,333,11748,1530,2456,1612,1223,1673,544,293,9317,11579,16027,9883,6685,8035,1983,921,55114,790,820,535,344,266,79,33,2870,19115,26879,17261,12216,16056,5268,2793,99584,149236,153587,86018,54165,71986,27058,12837,554879
6,1568,1461,876,558,816,342,157,5778,1241,1354,787,491,704,226,102,4914,1274,1279,649,416,536,179,82,4417,16911,18057,10383,6454,8568,2502,754,63629,114,112,67,57,45,15,9,403,21111,22262,12762,7974,10665,3266,1103,79139,125,218,154,115,219,98,56,990,264,416,275,222,283,96,41,1598,124,242,166,162,217,84,28,1026,4441,6007,3615,2484,3288,820,248,20901,245,244,116,112,71,21,6,816,5198,7121,4334,3097,4077,1120,382,25327,26310,29384,17091,11075,14741,4384,1485,104469
7,2654,2169,1181,753,940,311,116,8122,712,648,320,217,284,50,24,2254,1041,793,376,241,321,54,28,2856,8332,8106,4201,2490,2346,330,91,25900,114,104,51,50,16,0,0,341,12856,11831,6126,3743,3907,746,266,39477,125,189,129,115,181,51,28,810,122,138,96,55,78,7,7,497,93,147,97,78,99,20,3,538,1992,2587,1535,1025,891,79,33,8150,121,128,75,61,21,3,6,417,2452,3195,1935,1331,1268,159,74,10415,15311,15018,8063,5076,5176,904,337,49891
8,5890,5115,2518,1498,2025,1192,603,18833,1869,1820,1031,593,893,377,190,6789,2107,1935,962,614,879,357,192,7042,12632,11651,6066,3723,5011,1923,887,41886,85,82,41,26,23,14,6,273,22578,20603,10618,6449,8833,3863,1881,74827,388,546,391,280,446,277,143,2464,308,389,289,170,267,115,51,1586,128,266,176,128,217,85,38,1040,1540,2223,1549,1031,1487,503,219,8546,101,94,53,28,35,6,6,318,2464,3514,2457,1631,2443,984,460,13961,25043,24123,13082,8086,11275,4840,2341,88786
9,44,39,22,22,21,3,0,142,33,27,17,4,7,3,0,83,31,52,22,9,11,0,0,121,109,102,47,36,25,7,0,328,0,3,4,3,3,0,0,11,216,222,103,71,69,8,3,693,0,7,4,0,0,0,0,21,5,0,3,5,4,0,0,17,0,4,8,3,3,0,0,23,9,21,18,10,19,3,0,85,3,0,0,4,0,0,0,7,19,34,38,22,27,5,0,147,231,262,141,92,93,12,3,836
