SA4_CODE_2016,F_Mauritius_0_4,F_Mauritius_5_14,F_Mauritius_15_24,F_Mauritius_25_44,F_Mauritius_45_54,F_Mauritius_55_64,F_Mauritius_65_74,F_Mauritius_75_84,F_Mauritius_85ov,F_Mauritius_Tot,F_Myanmar_0_4,F_Myanmar_5_14,F_Myanmar_15_24,F_Myanmar_25_44,F_Myanmar_45_54,F_Myanmar_55_64,F_Myanmar_65_74,F_Myanmar_75_84,F_Myanmar_85ov,F_Myanmar_Tot,F_Nepal_0_4,F_Nepal_5_14,F_Nepal_15_24,F_Nepal_25_44,F_Nepal_45_54,F_Nepal_55_64,F_Nepal_65_74,F_Nepal_75_84,F_Nepal_85ov,F_Nepal_Tot,F_Netherlands_0_4,F_Netherlands_5_14,F_Netherlands_15_24,F_Netherlands_25_44,F_Netherlands_45_54,F_Netherlands_55_64,F_Netherlands_65_74,F_Netherlands_75_84,F_Netherlands_85ov,F_Netherlands_Tot,F_New_Zealand_0_4,F_New_Zealand_5_14,F_New_Zealand_15_24,F_New_Zealand_25_44,F_New_Zealand_45_54,F_New_Zealand_55_64,F_New_Zealand_65_74,F_New_Zealand_75_84,F_New_Zealand_85ov,F_New_Zealand_Tot,F_Nthern_Ireland_0_4,F_Nthern_Ireland_5_14,F_Nthern_Ireland_15_24,F_Nthern_Ireland_25_44,F_Nthern_Ireland_45_54,F_Nthern_Ireland_55_64,F_Nthern_Ireland_65_74,F_Nthern_Ireland_75_84,F_Nthern_Ireland_85ov,F_Nthern_Ireland_Tot,F_Pakistan_0_4,F_Pakistan_5_14,F_Pakistan_15_24,F_Pakistan_25_44,F_Pakistan_45_54,F_Pakistan_55_64,F_Pakistan_65_74,F_Pakistan_75_84,F_Pakistan_85ov,F_Pakistan_Tot,F_PNG_0_4,F_PNG_5_14,F_PNG_15_24,F_PNG_25_44,F_PNG_45_54,F_PNG_55_64,F_PNG_65_74,F_PNG_75_84,F_PNG_85ov,F_PNG_Tot,F_Philippines_0_4,F_Philippines_5_14,F_Philippines_15_24,F_Philippines_25_44,F_Philippines_45_54,F_Philippines_55_64,F_Philippines_65_74,F_Philippines_75_84,F_Philippines_85ov,F_Philippines_Tot,F_Poland_0_4,F_Poland_5_14,F_Poland_15_24,F_Poland_25_44,F_Poland_45_54,F_Poland_55_64,F_Poland_65_74,F_Poland_75_84,F_Poland_85ov,F_Poland_Tot,F_Scotland_0_4,F_Scotland_5_14,F_Scotland_15_24,F_Scotland_25_44,F_Scotland_45_54,F_Scotland_55_64,F_Scotland_65_74,F_Scotland_75_84,F_Scotland_85ov,F_Scotland_Tot,F_Singapore_0_4,F_Singapore_5_14,F_Singapore_15_24,F_Singapore_25_44,F_Singapore_45_54,F_Singapore_55_64,F_Singapore_65_74,F_Singapore_75_84,F_Singapore_85ov,F_Singapore_Tot,F_South_Africa_0_4,F_South_Africa_5_14,F_South_Africa_15_24,F_South_Africa_25_44,F_South_Africa_45_54,F_South_Africa_55_64,F_South_Africa_65_74,F_South_Africa_75_84,F_South_Africa_85ov,F_South_Africa_Tot,F_SE_Europe_nfd_0_4,F_SE_Europe_nfd_5_14,F_SE_Europe_nfd_15_24,F_SE_Europe_nfd_25_44,F_SE_Europe_nfd_45_54,F_SE_Europe_nfd_55_64,F_SE_Europe_nfd_65_74,F_SE_Europe_nfd_75_84,F_SE_Europe_nfd_85ov,F_SE_Europe_nfd_Tot,F_Sri_Lanka_0_4,F_Sri_Lanka_5_14,F_Sri_Lanka_15_24,F_Sri_Lanka_25_44,F_Sri_Lanka_45_54,F_Sri_Lanka_55_64,F_Sri_Lanka_65_74,F_Sri_Lanka_75_84,F_Sri_Lanka_85ov,F_Sri_Lanka_Tot,F_Taiwan_0_4,F_Taiwan_5_14,F_Taiwan_15_24,F_Taiwan_25_44,F_Taiwan_45_54,F_Taiwan_55_64,F_Taiwan_65_74,F_Taiwan_75_84,F_Taiwan_85ov,F_Taiwan_Tot,F_Thailand_0_4,F_Thailand_5_14,F_Thailand_15_24,F_Thailand_25_44,F_Thailand_45_54,F_Thailand_55_64,F_Thailand_65_74,F_Thailand_75_84,F_Thailand_85ov,F_Thailand_Tot,F_FYROM_0_4,F_FYROM_5_14,F_FYROM_15_24,F_FYROM_25_44,F_FYROM_45_54,F_FYROM_55_64,F_FYROM_65_74,F_FYROM_75_84,F_FYROM_85ov,F_FYROM_Tot,F_Turkey_0_4,F_Turkey_5_14,F_Turkey_15_24,F_Turkey_25_44,F_Turkey_45_54,F_Turkey_55_64,F_Turkey_65_74,F_Turkey_75_84,F_Turkey_85ov,F_Turkey_Tot,F_USA_0_4,F_USA_5_14,F_USA_15_24,F_USA_25_44,F_USA_45_54,F_USA_55_64,F_USA_65_74,F_USA_75_84,F_USA_85ov,F_USA_Tot
111,0,0,6,3,5,10,14,3,0,43,0,0,7,26,8,3,0,3,0,45,0,7,14,39,5,0,0,0,0,57,0,6,3,32,30,60,154,55,46,380,18,74,157,607,411,326,214,109,42,1961,0,0,0,14,16,17,23,13,5,90,3,16,4,65,3,7,7,0,0,111,0,0,15,54,28,31,11,3,0,150,15,63,78,395,230,241,88,27,4,1139,0,0,0,42,24,40,63,49,62,291,0,27,17,90,83,148,195,104,65,731,3,4,51,40,21,15,11,3,0,151,3,26,83,185,112,92,33,24,6,571,0,0,0,6,26,29,36,29,6,141,0,15,21,83,31,14,17,6,0,185,3,3,26,92,7,3,0,0,0,135,4,15,44,213,69,30,8,0,0,378,0,0,3,32,81,109,116,88,28,458,0,0,3,8,3,4,3,0,0,24,11,68,85,227,79,75,42,15,4,594
112,0,0,0,3,0,6,3,0,0,17,0,0,0,3,0,4,0,3,0,5,0,0,0,10,0,0,0,0,0,13,0,4,9,49,49,70,135,70,27,416,6,98,144,611,504,565,374,162,71,2545,0,0,0,7,6,16,29,16,9,80,0,3,0,9,3,3,0,0,0,24,0,4,3,46,53,42,12,4,3,178,14,37,46,265,161,140,63,17,3,745,0,0,0,34,7,11,14,7,10,84,0,13,6,54,56,106,140,90,57,511,4,3,0,18,19,10,9,3,0,64,0,19,35,121,92,76,61,29,14,441,0,0,0,3,5,5,16,6,3,40,3,5,0,15,13,13,4,3,3,48,0,0,3,31,6,0,3,0,0,45,5,14,27,141,63,36,15,0,0,291,0,0,0,0,0,0,0,0,0,3,0,0,0,6,3,3,0,0,0,13,6,31,39,155,97,120,78,16,10,547
113,0,0,0,7,0,0,0,0,0,10,0,10,6,45,4,0,0,0,0,66,0,5,0,25,3,3,0,0,0,39,0,0,3,17,8,19,44,19,7,114,5,61,99,207,124,117,54,24,8,692,0,0,0,0,5,3,12,3,0,24,6,19,17,54,7,0,3,0,0,98,0,3,3,17,6,7,0,0,0,40,12,65,39,210,77,79,33,9,5,523,0,0,0,3,4,0,0,3,3,19,0,5,12,14,24,27,55,23,5,167,0,0,8,10,8,8,3,0,0,30,3,31,47,85,50,20,17,4,0,250,0,0,0,0,4,6,3,4,3,20,0,6,4,41,14,3,7,0,0,76,0,0,32,145,3,0,0,0,0,184,0,3,9,45,26,4,9,0,0,102,0,0,0,0,3,0,3,0,0,12,0,5,4,22,12,5,4,0,0,42,4,8,17,40,20,20,18,4,0,127
114,0,0,0,0,3,5,7,3,0,21,0,0,0,3,0,3,0,3,0,11,0,5,8,64,3,4,0,0,0,75,0,0,6,15,17,58,123,67,28,311,8,38,34,208,179,228,202,75,19,988,0,0,0,9,8,9,34,13,5,74,0,3,0,3,0,3,4,0,0,12,0,0,0,16,17,16,4,4,0,62,3,12,27,115,86,83,41,4,3,374,0,0,0,15,9,20,26,20,13,100,0,10,7,29,52,104,127,93,34,450,0,6,10,5,12,9,9,6,0,55,0,9,13,59,38,40,68,13,6,247,0,0,0,0,6,12,9,11,0,46,0,5,0,17,7,3,8,3,0,46,0,3,4,17,4,3,0,3,0,31,5,8,3,63,30,12,8,0,0,127,0,0,0,3,0,4,14,0,0,25,0,0,0,3,0,0,3,0,0,5,6,16,22,72,43,42,45,13,0,264
115,0,0,4,11,32,28,20,4,0,108,0,4,0,33,23,19,17,3,0,101,3,4,16,60,9,6,0,0,0,87,0,19,18,25,34,36,82,44,19,276,16,135,188,413,321,294,151,39,14,1576,0,3,0,9,15,19,27,9,6,91,4,32,39,188,83,52,20,12,3,423,0,0,3,22,20,16,10,8,0,77,6,34,85,502,374,359,189,35,27,1604,0,3,3,91,44,84,36,20,15,297,0,18,9,48,70,67,88,29,24,367,12,52,66,101,95,82,51,16,0,483,19,173,274,533,364,198,85,55,13,1724,0,0,0,6,25,15,16,12,3,79,10,68,103,444,413,327,142,70,36,1610,4,8,23,153,67,97,39,0,0,394,3,13,33,144,49,31,8,0,0,279,0,0,0,5,6,9,6,4,3,22,0,0,4,47,56,12,12,7,0,139,19,117,169,161,88,58,27,9,3,646
116,0,9,10,80,60,97,64,35,19,374,0,15,34,159,103,62,40,13,5,425,0,47,96,470,42,38,3,4,0,700,0,0,8,15,16,35,77,58,21,238,82,502,810,1526,529,359,135,34,11,3995,0,0,0,13,24,10,37,15,9,103,52,241,233,981,243,122,49,21,0,1931,0,0,6,25,27,11,8,4,0,83,64,505,1044,4468,2546,2160,934,240,159,12127,0,0,11,95,61,117,84,61,100,527,3,11,11,43,81,101,108,64,33,455,4,34,36,67,42,46,26,10,4,279,3,68,111,322,179,141,70,32,5,934,0,0,4,37,49,56,51,51,16,255,24,108,180,1037,415,326,180,80,31,2385,8,3,10,88,14,32,8,0,4,170,3,23,40,235,80,45,15,3,0,443,0,0,0,21,15,28,26,10,0,104,7,9,43,200,205,102,77,25,0,667,8,74,73,141,46,28,21,3,0,400
117,0,3,4,46,11,12,15,5,7,104,0,0,39,54,17,18,7,6,0,144,5,6,62,209,12,3,0,0,0,302,3,13,41,154,29,23,21,20,5,301,17,52,331,1601,642,484,216,76,19,3432,0,0,16,93,29,18,12,3,3,175,3,5,18,77,14,12,0,0,0,131,0,0,19,57,37,23,11,4,0,151,6,49,162,1054,282,273,139,33,17,2016,0,0,26,256,32,72,44,27,10,471,4,0,39,287,86,88,52,31,15,592,10,15,187,406,59,52,27,3,9,764,3,7,75,442,105,85,49,21,3,788,0,0,3,32,29,32,22,29,11,162,0,0,32,155,28,19,19,9,3,272,3,9,136,661,54,47,20,0,0,943,25,27,525,3751,238,122,35,5,3,4734,0,0,3,46,24,55,49,38,8,226,0,3,24,158,103,59,51,21,3,427,35,54,315,880,151,93,67,17,3,1616
118,0,0,3,37,11,26,12,3,0,92,0,0,31,16,8,11,4,4,5,73,0,5,11,67,8,0,0,0,0,90,3,15,27,140,29,16,49,27,17,323,17,84,214,1396,552,442,277,105,31,3111,0,0,21,114,35,19,28,11,3,224,0,3,13,38,18,6,3,0,0,80,0,4,6,48,36,23,11,7,7,140,3,42,100,580,207,167,81,25,8,1210,0,3,15,240,50,98,113,55,102,671,4,12,40,295,86,85,81,55,15,668,23,69,147,192,58,78,45,27,8,656,5,63,253,1173,686,526,365,236,75,3384,0,0,0,23,27,37,24,19,8,131,0,0,36,88,29,25,23,15,5,216,6,10,49,161,42,38,17,3,0,337,8,24,85,364,105,67,28,4,4,688,0,0,0,23,11,3,0,0,0,49,0,0,3,46,33,23,13,5,8,138,52,172,167,792,215,111,61,20,13,1598
119,0,8,16,97,61,91,82,52,26,431,3,31,79,212,79,57,25,13,4,501,22,140,1229,3363,101,93,13,3,0,4976,0,0,8,37,11,26,50,32,23,183,57,330,582,1375,642,526,213,70,26,3821,0,5,0,17,14,4,26,12,7,87,94,235,187,1131,156,67,20,5,4,1890,0,3,8,44,31,35,10,9,4,142,28,166,383,2137,901,777,347,88,31,4857,0,3,13,201,42,70,74,79,77,559,0,4,3,58,61,100,88,64,42,421,9,38,61,175,70,106,59,22,4,541,3,13,43,214,120,92,78,28,14,597,0,0,0,31,54,104,79,49,16,330,0,10,32,157,68,81,48,28,19,445,13,16,75,421,94,91,37,4,3,751,15,49,136,1055,223,175,51,5,4,1714,8,24,68,496,643,797,674,414,106,3214,0,8,16,143,112,72,70,25,9,459,17,89,77,179,59,46,38,8,5,513
120,0,0,3,46,25,38,16,13,7,153,0,0,25,77,53,30,12,13,8,227,8,57,582,1317,36,21,10,0,0,2032,0,3,13,52,29,27,34,12,8,174,15,86,201,911,488,401,214,59,11,2392,0,0,7,44,23,10,26,7,3,117,5,27,25,106,22,15,14,0,0,215,0,0,7,49,37,28,17,9,13,150,17,69,130,1044,297,307,169,32,19,2083,0,3,3,155,34,91,53,47,42,435,0,6,15,139,94,91,80,38,19,482,13,45,61,160,50,58,43,15,8,461,4,17,49,259,118,90,55,25,3,625,0,0,3,12,29,34,32,24,11,143,7,18,63,328,202,213,129,97,66,1125,10,11,78,411,64,64,29,11,0,672,6,38,134,816,120,77,22,4,0,1217,0,0,4,28,18,21,8,12,0,98,0,3,7,103,83,60,47,23,8,350,34,95,76,316,117,79,61,16,5,798
