SA4_CODE_2016,M_15_19_Prvided_unpaid_assist,M_15_19_No_unpad_asst_prvided,M_15_19_Unpaid_assist_ns,M_15_19_Tot,M_20_24_Prvided_unpaid_assist,M_20_24_No_unpad_asst_prvided,M_20_24_Unpaid_assist_ns,M_20_24_Tot,M_25_34_Prvided_unpaid_assist,M_25_34_No_unpad_asst_prvided,M_25_34_Unpaid_assist_ns,M_25_34_Tot,M_35_44_Prvided_unpaid_assist,M_35_44_No_unpad_asst_prvided,M_35_44_Unpaid_assist_ns,M_35_44_Tot,M_45_54_Prvided_unpaid_assist,M_45_54_No_unpad_asst_prvided,M_45_54_Unpaid_assist_ns,M_45_54_Tot,M_55_64_Prvided_unpaid_assist,M_55_64_No_unpad_asst_prvided,M_55_64_Unpaid_assist_ns,M_55_64_Tot,M_65_74_Prvided_unpaid_assist,M_65_74_No_unpad_asst_prvided,M_65_74_Unpaid_assist_ns,M_65_74_Tot,M_75_84_Prvided_unpaid_assist,M_75_84_No_unpad_asst_prvided,M_75_84_Unpaid_assist_ns,M_75_84_Tot,M_85_ov_Prvided_unpaid_assist,M_85_ov_No_unpad_asst_prvided,M_85_ov_Unpaid_assist_ns,M_85_ov_Tot,M_Tot_prvided_unpaid_assist,M_Tot_No_unpaid_asst_prvided,M_Tot_Unpaid_assist_ns,M_Tot_Tot,F_15_19_Prvided_unpaid_assist,F_15_19_No_unpad_asst_prvided,F_15_19_Unpaid_assist_ns,F_15_19_Tot,F_20_24_Prvided_unpaid_assist,F_20_24_No_unpad_asst_prvided,F_20_24_Unpaid_assist_ns,F_20_24_Tot,F_25_34_Prvided_unpaid_assist,F_25_34_No_unpad_asst_prvided,F_25_34_Unpaid_assist_ns,F_25_34_Tot,F_35_44_Prvided_unpaid_assist,F_35_44_No_unpad_asst_prvided,F_35_44_Unpaid_assist_ns,F_35_44_Tot,F_45_54_Prvided_unpaid_assist,F_45_54_No_unpad_asst_prvided,F_45_54_Unpaid_assist_ns,F_45_54_Tot,F_55_64_Prvided_unpaid_assist,F_55_64_No_unpad_asst_prvided,F_55_64_Unpaid_assist_ns,F_55_64_Tot,F_65_74_Prvided_unpaid_assist,F_65_74_No_unpad_asst_prvided,F_65_74_Unpaid_assist_ns,F_65_74_Tot,F_75_84_Prvided_unpaid_assist,F_75_84_No_unpad_asst_prvided,F_75_84_Unpaid_assist_ns,F_75_84_Tot,F_85_ov_Prvided_unpaid_assist,F_85_ov_No_unpad_asst_prvided,F_85_ov_Unpaid_assist_ns,F_85_ov_Tot,F_Tot_prvided_unpaid_assist,F_Tot_No_unpaid_asst_prvided,F_Tot_Unpaid_assist_ns,F_Tot_Tot,P_15_19_Prvided_unpaid_assist,P_15_19_No_unpad_asst_prvided,P_15_19_Unpaid_assist_ns,P_15_19_Tot,P_20_24_Prvided_unpaid_assist,P_20_24_No_unpad_asst_prvided,P_20_24_Unpaid_assist_ns,P_20_24_Tot,P_25_34_Prvided_unpaid_assist,P_25_34_No_unpad_asst_prvided,P_25_34_Unpaid_assist_ns,P_25_34_Tot,P_35_44_Prvided_unpaid_assist,P_35_44_No_unpad_asst_prvided,P_35_44_Unpaid_assist_ns,P_35_44_Tot,P_45_54_Prvided_unpaid_assist,P_45_54_No_unpad_asst_prvided,P_45_54_Unpaid_assist_ns,P_45_54_Tot,P_55_64_Prvided_unpaid_assist,P_55_64_No_unpad_asst_prvided,P_55_64_Unpaid_assist_ns,P_55_64_Tot,P_65_74_Prvided_unpaid_assist,P_65_74_No_unpad_asst_prvided,P_65_74_Unpaid_assist_ns,P_65_74_Tot,P_75_84_Prvided_unpaid_assist,P_75_84_No_unpad_asst_prvided,P_75_84_Unpaid_assist_ns,P_75_84_Tot,P_85_ov_Prvided_unpaid_assist,P_85_ov_No_unpad_asst_prvided,P_85_ov_Unpaid_assist_ns,P_85_ov_Tot,P_Tot_prvided_unpaid_assist,P_Tot_No_unpaid_asst_prvided,P_Tot_Unpaid_assist_ns,P_Tot_Tot
111,455,9871,725,11055,630,11309,686,12627,1548,20247,1354,23140,2126,18226,1235,21580,3127,18219,1484,22834,3623,16833,1468,21925,2383,13472,1513,17365,1074,6922,1261,9251,330,2403,784,3517,15294,117503,10502,143301,565,9193,618,10367,832,10783,663,12279,2339,19730,1126,23199,3599,18137,1015,22753,5157,17362,1217,23735,5817,16045,1361,23227,3328,14004,1580,18906,1173,8508,1845,11526,221,4392,1791,6408,23022,118151,11218,152388,1021,19062,1345,21430,1459,22097,1346,24899,3885,39973,2480,46339,5729,36357,2252,44331,8282,35587,2702,46563,9435,32879,2831,45143,5704,27471,3093,36273,2245,15429,3100,20775,551,6798,2581,9928,38313,235652,21725,295691
112,309,5784,955,7042,301,4522,586,5403,787,8782,1107,10669,1282,10503,1277,13062,1877,12219,1583,15674,2599,13541,1873,18015,1610,11378,1665,14655,750,5575,1263,7585,232,2129,700,3063,9741,74431,11003,95176,345,5555,838,6731,359,4319,506,5186,1309,9181,1041,11534,2269,11146,1294,14706,3325,12434,1550,17307,4234,13189,1808,19231,2229,10814,1665,14705,888,6442,1632,8968,159,3588,1236,4981,15112,76667,11565,103343,653,11338,1787,13774,660,8836,1089,10593,2094,17964,2152,22204,3549,21647,2571,27770,5199,24652,3133,32981,6833,26733,3680,37248,3833,22194,3334,29358,1639,12019,2891,16550,393,5717,1932,8042,24854,151102,22566,198521
113,243,4371,676,5286,241,4111,587,4940,614,7716,1167,9501,876,7123,1124,9120,1203,7643,1113,9956,1297,7518,1135,9958,837,5614,994,7442,388,3037,750,4180,117,1002,303,1425,5821,48136,7848,61810,304,3995,564,4862,360,4071,387,4821,1022,7702,755,9477,1473,6845,743,9060,1914,7174,840,9933,2184,6727,955,9871,1138,5501,962,7601,483,3447,951,4883,96,1834,604,2528,8980,47296,6762,63034,541,8367,1239,10148,606,8178,978,9761,1638,15420,1922,18982,2350,13965,1865,18179,3122,14820,1950,19887,3483,14252,2090,19828,1975,11113,1953,15046,872,6485,1701,9060,215,2833,910,3951,14801,95433,14610,124846
114,176,3418,555,4149,204,2836,419,3456,521,5326,816,6668,784,5788,805,7371,1194,6884,873,8951,1577,7994,894,10459,1236,8411,1086,10740,643,4316,841,5793,157,1277,406,1843,6487,46248,6692,59435,243,3447,487,4177,248,2538,265,3046,837,5282,484,6606,1332,5883,549,7765,2059,6996,744,9798,2678,7941,888,11510,1661,8528,1132,11320,654,4563,1059,6275,106,1947,695,2743,9821,47116,6298,63242,420,6864,1041,8322,451,5372,684,6505,1354,10609,1304,13270,2113,11675,1355,15139,3256,13882,1611,18747,4253,15937,1784,21971,2901,16940,2223,22062,1296,8875,1900,12069,266,3227,1098,4588,16312,93368,12997,122671
115,341,7796,491,8631,335,6733,316,7380,673,10016,541,11229,1349,13177,665,15195,1912,13778,805,16492,1987,11060,626,13680,1212,8089,555,9857,480,3375,394,4248,127,1083,241,1458,8429,75106,4624,88161,410,7133,455,7991,410,6112,264,6791,1052,10131,540,11728,2292,14049,656,16993,3122,13476,748,17354,3220,10432,615,14264,1677,7943,629,10240,544,3670,503,4715,119,1861,570,2541,12843,74810,4970,92620,754,14925,937,16623,741,12846,576,14165,1727,20147,1085,22958,3641,27228,1317,32188,5037,27255,1550,33842,5205,21497,1241,27940,2887,16033,1183,20102,1025,7043,898,8963,248,2946,808,4003,21270,149913,9597,180785
116,621,10473,1037,12132,683,10214,959,11857,1811,21616,2072,25495,2571,21596,1902,26075,2376,17048,1576,21004,1979,13344,1204,16527,1173,8332,962,10468,459,3365,533,4358,94,964,193,1258,11768,106961,10442,129170,653,9737,899,11288,923,9491,691,11113,3098,22415,1709,27228,3966,20307,1555,25834,3746,16311,1280,21335,3127,13092,1187,17406,1557,8564,1128,11251,438,4214,730,5377,77,1940,300,2314,17597,106069,9480,133145,1271,20208,1937,23419,1606,19708,1657,22967,4914,44035,3779,52724,6539,41904,3458,51901,6127,33360,2855,42341,5110,26439,2392,33933,2727,16894,2091,21714,898,7576,1258,9736,176,2903,494,3575,29358,213032,19921,262316
117,255,5132,808,6194,522,14402,2483,17399,1625,39159,6216,46994,1740,22825,3378,27940,2039,14874,2425,19344,1634,10180,1728,13538,856,6581,1201,8642,392,3146,731,4263,116,957,251,1315,9162,117255,19214,145631,260,5827,796,6881,644,16875,2266,19788,1937,37859,5280,45084,2188,19228,2470,23881,2625,11760,1604,15986,2260,8946,1417,12624,1227,6264,1029,8520,460,3589,738,4790,67,1631,417,2111,11665,111976,16021,139665,514,10958,1602,13077,1159,31281,4749,37189,3561,77017,11498,92073,3932,42046,5847,51826,4657,26636,4029,35329,3886,19128,3143,26163,2079,12843,2235,17164,853,6733,1463,9046,183,2582,668,3426,20829,229234,35232,285297
118,237,5840,654,6741,364,9323,1210,10893,905,21377,3187,25470,1401,16829,2284,20517,1856,12536,1750,16142,1806,8974,1270,12049,1061,7214,1174,9442,524,3884,774,5187,215,1701,394,2306,8361,87683,12706,108747,267,5817,541,6636,416,9653,1033,11105,1275,23531,2890,27691,2060,17175,1891,21123,3079,12260,1407,16745,2915,8931,1184,13031,1739,7692,1196,10629,765,4749,1019,6530,178,3028,833,4037,12696,92846,11997,117535,509,11662,1199,13370,785,18975,2241,21998,2178,44905,6073,53164,3454,34004,4176,41635,4927,24800,3160,32892,4721,17909,2458,25087,2802,14909,2364,20072,1291,8631,1797,11718,389,4725,1223,6342,21060,180527,24701,226282
119,839,15236,1469,17553,1190,18589,1549,21322,3274,40388,3696,47360,4082,31536,2777,38398,4709,27815,2450,34974,4062,23437,2057,29558,2495,16629,1743,20866,1358,9653,1343,12355,442,3854,808,5108,22453,187146,17894,227488,998,14388,1345,16732,1476,17277,1508,20261,4896,39058,3418,47374,6158,30459,2588,39201,7435,26950,2415,36805,6507,22947,2060,31514,3418,16494,1858,21767,1594,11608,1682,14883,308,6662,1345,8313,32787,185836,18218,236840,1835,29623,2819,34280,2668,35860,3052,41586,8169,79443,7113,94731,10239,61989,5365,77600,12144,54769,4860,71779,10566,46386,4114,61067,5912,33118,3605,42634,2949,21265,3027,27238,752,10516,2149,13419,55240,372977,36110,464334
120,308,6070,566,6943,516,9964,976,11456,1326,24436,2443,28205,1799,18472,1648,21916,2315,14682,1320,18323,2135,11176,1064,14384,1208,7836,807,9855,567,4456,525,5554,198,1792,269,2259,10370,98898,9620,118885,309,6025,447,6775,529,9964,891,11388,1775,24540,2349,28660,2778,18574,1658,23012,3950,15017,1342,20302,3507,11469,1114,16098,1914,8371,879,11165,802,5423,670,6892,139,3292,464,3896,15707,102669,9819,128189,620,12091,1012,13724,1041,19929,1868,22842,3097,48971,4794,56865,4577,37044,3304,44928,6262,29697,2667,38627,5647,22653,2186,30476,3121,16210,1685,21016,1369,9883,1192,12447,342,5083,729,6153,26076,201562,19433,247072
