SA4_CODE_2016,South_Africa_Before_1946,South_Africa_1946_1955,South_Africa_1956_1965,South_Africa_1966_1975,South_Africa_1976_1985,South_Africa_1986_1995,South_Africa_1996_2005,South_Africa_2006_2010,South_Africa_2011,South_Africa_2012,South_Africa_2013,South_Africa_2014,South_Africa_2015,South_Africa_2016,South_Africa_Yr_arrival_ns,South_Africa_Tot,Sri_Lanka_Before_1946,Sri_Lanka_1946_1955,Sri_Lanka_1956_1965,Sri_Lanka_1966_1975,Sri_Lanka_1976_1985,Sri_Lanka_1986_1995,Sri_Lanka_1996_2005,Sri_Lanka_2006_2010,Sri_Lanka_2011,Sri_Lanka_2012,Sri_Lanka_2013,Sri_Lanka_2014,Sri_Lanka_2015,Sri_Lanka_2016,Sri_Lanka_Yr_arrival_ns,Sri_Lanka_Tot,Thailand_Before_1946,Thailand_1946_1955,Thailand_1956_1965,Thailand_1966_1975,Thailand_1976_1985,Thailand_1986_1995,Thailand_1996_2005,Thailand_2006_2010,Thailand_2011,Thailand_2012,Thailand_2013,Thailand_2014,Thailand_2015,Thailand_2016,Thailand_Yr_arrival_ns,Thailand_Tot,FYROM_Before_1946,FYROM_1946_1955,FYROM_1956_1965,FYROM_1966_1975,FYROM_1976_1985,FYROM_1986_1995,FYROM_1996_2005,FYROM_2006_2010,FYROM_2011,FYROM_2012,FYROM_2013,FYROM_2014,FYROM_2015,FYROM_2016,FYROM_arrival_ns,FYROM_Tot,Turkey_Before_1946,Turkey_1946_1955,Turkey_1956_1965,Turkey_1966_1975,Turkey_1976_1985,Turkey_1986_1995,Turkey_1996_2005,Turkey_2006_2010,Turkey_2011,Turkey_2012,Turkey_2013,Turkey_2014,Turkey_2015,Turkey_2016,Turkey_Yr_arrival_ns,Turkey_Tot,United_Kingdom_Before_1946,United_Kingdom_1946_1955,United_Kingdom_1956_1965,United_Kingdom_1966_1975,United_Kingdom_1976_1985,United_Kingdom_1986_1995,United_Kingdom_1996_2005,United_Kingdom_2006_2010,United_Kingdom_2011,United_Kingdom_2012,United_Kingdom_2013,United_Kingdom_2014,United_Kingdom_2015,United_Kingdom_2016,United_Kingdom_Yr_arrival_ns,United_Kingdom_Tot,USA_Before_1946,USA_1946_1955,USA_1956_1965,USA_1966_1975,USA_1976_1985,USA_1986_1995,USA_1996_2005,USA_2006_2010,United_States_America_2011,United_States_America_2012,United_States_America_2013,United_States_America_2014,United_States_America_2015,United_States_America_2016,USA_year_of_arrival_ns,USA_Total,Vietnam_Before_1946,Vietnam_1946_1955,Vietnam_1956_1965,Vietnam_1966_1975,Vietnam_1976_1985,Vietnam_1986_1995,Vietnam_1996_2005,Vietnam_2006_2010,Vietnam_2011,Vietnam_2012,Vietnam_2013,Vietnam_2014,Vietnam_2015,Vietnam_2016,Vietnam_Yr_arrival_NS,Vietnam_Tot,Zimbabwe_Before_1946,Zimbabwe_1946_1955,Zimbabwe_1956_1965,Zimbabwe_1966_1975,Zimbabwe_1976_1985,Zimbabwe_1986_1995,Zimbabwe_1996_2005,Zimbabwe_2006_2010,Zimbabwe_2011,Zimbabwe_2012,Zimbabwe_2013,Zimbabwe_2014,Zimbabwe_2015,Zimbabwe_2016,Zimbabwe_Yr_arrival_NS,Zimbabwe_Tot,Born_elsewhere_Before_1946,Born_elsewhere_1946_1955,Born_elsewhere_1956_1965,Born_elsewhere_1966_1975,Born_elsewhere_1976_1985,Born_elsewhere_1986_1995,Born_elsewhere_1996_2005,Born_elsewhere_2006_2010,Born_elsewhere_2011,Born_elsewhere_2012,Born_elsewhere_2013,Born_elsewhere_2014,Born_elsewhere_2015,Born_elsewhere_2016,Born_elsewhere_Yr_arrival_ns,Born_elsewhere_Tot,Tot_Before_1946,Tot_1946_1955,Tot_1956_1965,Tot_1966_1975,Tot_1976_1985,Tot_1986_1995,Tot_1996_2005,Tot_2006_2010,Tot_2011,Tot_2012,Tot_2013,Tot_2014,Tot_2015,Tot_2016,Tot_Yr_arrival_NS,Tot_Tot
101,0,0,37,57,82,64,134,101,17,12,10,7,20,16,17,576,0,7,5,11,7,26,21,46,8,4,17,3,10,3,7,178,0,0,3,14,15,34,58,66,18,8,17,11,11,10,19,280,0,13,28,192,59,143,49,25,3,5,12,11,8,0,24,562,0,0,0,13,7,14,8,0,0,0,0,3,0,0,3,59,50,901,1939,2565,955,654,581,374,64,80,62,59,57,20,384,8758,0,9,28,135,92,108,166,117,44,24,16,20,26,11,27,815,0,0,3,7,50,28,18,33,3,4,6,6,0,0,38,196,0,0,14,6,21,6,31,21,8,4,0,4,4,3,0,130,12,280,520,928,403,379,430,469,76,108,98,122,134,67,211,4234,113,2357,4112,5529,2926,2616,2732,2643,515,516,510,603,594,336,1284,27399
102,3,3,42,126,216,201,499,304,53,20,33,22,39,20,38,1612,3,3,31,43,30,41,21,27,12,8,3,3,11,3,9,239,0,0,0,3,13,59,153,139,26,16,40,33,27,8,39,560,0,0,3,24,3,6,0,0,0,0,0,0,0,0,0,39,0,0,0,26,10,15,18,3,0,0,0,0,0,0,5,90,119,1313,2989,4487,1951,1831,2041,1491,255,262,220,178,150,63,603,17974,3,13,47,135,100,148,226,169,45,41,24,29,28,24,34,1056,0,0,0,12,64,46,35,43,10,14,14,17,21,5,22,302,0,0,5,9,33,16,97,75,5,0,18,10,5,4,3,278,30,301,521,1466,757,770,875,646,117,125,89,113,93,53,197,6155,259,3203,5586,8737,5800,6025,6974,5064,948,972,852,787,713,415,1724,48054
103,0,0,15,23,46,57,148,133,12,55,8,14,7,7,14,535,0,3,0,4,9,19,17,59,3,12,16,7,3,3,3,156,0,0,0,3,3,30,42,46,12,9,9,13,11,5,8,179,0,0,0,14,0,0,0,3,0,0,0,0,0,0,9,25,0,0,0,5,4,0,0,6,0,0,0,0,0,0,3,28,61,496,926,1398,465,309,285,173,40,58,54,24,29,24,222,4554,0,3,9,61,27,39,58,50,5,14,12,12,13,10,13,329,0,0,0,0,20,30,24,30,16,3,10,16,6,3,38,202,0,0,4,4,21,9,35,57,11,9,22,0,3,0,6,174,15,135,176,401,167,167,320,284,50,67,44,64,59,53,144,2142,107,1310,1787,2664,1502,1412,1805,1791,366,577,384,357,333,213,947,15540
104,0,3,22,41,55,43,97,108,17,6,9,4,14,11,5,437,0,3,3,3,10,8,3,18,3,0,3,0,0,0,0,51,0,0,0,0,12,13,26,33,14,17,12,11,14,13,13,188,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,9,0,0,0,7,0,3,3,0,0,0,0,0,3,0,0,23,47,530,1094,1474,473,373,408,290,74,75,56,34,42,7,205,5186,0,10,18,69,71,42,60,53,15,8,10,10,8,11,9,399,0,0,0,3,4,10,3,19,3,10,0,8,5,0,11,76,0,0,7,3,13,12,24,11,3,5,3,0,3,0,0,83,8,112,194,334,179,191,267,370,71,154,158,149,198,117,120,2618,89,1178,1914,2689,1679,1471,1618,1754,321,444,437,448,459,286,668,15466
105,0,0,3,5,19,22,38,55,3,20,8,8,8,0,0,197,0,0,0,0,4,13,24,66,12,13,9,13,17,0,3,172,0,0,0,0,5,0,11,17,3,3,4,0,14,0,0,60,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,7,16,207,284,390,126,94,72,65,20,14,30,16,11,8,70,1430,0,0,14,21,19,16,29,26,0,7,3,0,0,3,10,145,0,0,0,0,10,6,8,14,3,3,3,3,5,5,12,68,0,0,4,3,3,0,11,51,5,0,0,0,10,5,0,97,9,39,93,170,71,69,93,283,39,52,38,40,34,46,84,1159,38,481,644,871,527,584,669,1180,235,284,261,223,235,155,411,6794
106,3,6,12,42,85,68,195,323,31,45,32,19,19,4,11,897,0,3,7,3,7,14,3,33,11,7,6,12,3,0,7,114,0,0,0,0,11,24,84,70,11,17,20,26,5,14,16,302,0,0,5,13,3,0,0,0,0,0,0,0,0,0,0,22,0,0,3,13,3,3,15,5,0,0,0,0,0,0,11,43,53,789,1329,2015,908,589,651,581,117,70,99,70,56,30,290,7648,4,7,17,53,63,56,113,82,14,26,21,15,28,13,21,524,0,0,0,3,20,17,14,32,3,13,11,16,29,3,27,181,0,0,3,3,25,6,50,96,4,3,7,7,6,0,3,228,6,180,210,469,289,224,307,285,45,72,49,54,63,18,151,2424,98,1931,2420,3619,2587,2204,2668,2779,584,535,504,448,412,203,1037,22041
107,3,4,28,61,130,83,279,167,31,27,27,12,20,3,10,886,0,0,13,21,26,53,42,51,3,12,30,26,26,33,14,338,0,0,0,12,25,69,157,196,38,29,52,52,50,24,40,739,3,14,368,2219,393,318,144,81,0,9,5,6,12,0,145,3725,0,0,0,315,108,130,69,20,6,3,21,3,8,4,31,720,84,1464,3073,5511,1439,882,1027,774,132,158,162,128,97,41,564,15533,0,14,22,111,77,98,156,161,32,42,32,38,45,23,37,890,0,0,3,7,359,150,89,89,19,43,46,62,77,77,29,1050,0,0,0,3,27,13,52,24,4,8,10,3,4,6,4,159,10,372,1368,2514,1044,1062,1044,880,149,196,299,521,360,305,423,10547,157,4015,8703,13391,5509,4909,5687,4605,974,1303,1609,1916,1844,1305,2346,58274
108,4,10,27,56,95,59,134,84,3,20,6,8,9,4,19,530,0,4,0,12,10,15,8,14,3,0,0,0,4,3,3,80,0,0,0,5,13,32,44,43,10,12,7,16,5,9,16,215,0,0,0,8,3,0,0,0,0,0,0,0,0,0,0,14,0,0,0,7,3,3,3,0,0,0,0,0,0,0,0,22,69,997,1952,2597,850,522,670,358,51,55,58,53,44,13,398,8673,0,18,25,105,51,44,80,72,18,10,25,19,11,11,20,503,0,0,0,4,14,10,16,18,4,4,3,6,7,0,12,94,0,0,3,12,29,14,24,25,3,3,0,0,0,0,0,114,14,188,321,561,254,198,221,184,43,41,46,41,45,15,122,2307,150,2231,3304,4456,2450,1781,2121,1467,290,326,307,268,259,148,985,20535
109,0,0,5,8,18,13,66,65,7,16,0,3,6,6,6,233,0,0,3,3,8,10,16,31,13,18,6,11,12,3,8,151,0,0,0,4,3,8,28,36,5,6,0,9,8,0,0,117,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,3,0,0,0,0,0,3,0,0,0,12,23,294,592,755,295,161,195,132,23,25,18,11,18,7,124,2675,0,3,6,21,17,24,32,26,6,15,3,3,6,5,5,174,0,0,0,0,5,3,7,11,3,3,0,3,3,3,0,51,0,0,0,0,4,0,6,16,3,3,0,3,4,0,0,49,3,100,137,190,111,81,126,331,145,106,95,111,97,28,52,1711,45,908,1257,1405,862,720,974,1401,344,382,275,328,319,181,414,9808
110,0,0,13,10,32,18,129,96,27,25,9,13,18,9,23,430,0,3,3,3,13,11,10,37,10,12,23,8,7,6,0,150,0,0,0,0,6,17,31,29,5,4,4,5,7,3,14,127,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,8,0,0,0,4,0,0,0,3,0,0,0,0,0,0,3,22,30,309,659,876,290,216,234,164,41,29,36,30,18,16,173,3124,0,8,45,63,58,43,133,66,14,14,17,14,22,8,15,520,0,0,0,4,14,8,17,20,7,10,12,8,24,24,17,167,0,0,0,0,18,10,28,16,3,0,13,3,3,3,5,99,7,60,110,228,101,126,214,354,61,89,90,151,281,125,140,2140,69,726,1192,1649,1119,1031,1457,1655,365,495,502,565,796,415,686,12739
