SA4_CODE_2016,Intct_fam_no_otr_chld_pre_Fam,Step_fam_no_otr_chld_pre_Fam,Blnd_fam_no_otr_chld_pre_Fam,Intct_fam_othr_child_pres_Fam,Step_fam_othr_child_pres_Fam,Blnd_fam_othr_child_pres_Fam,Otr_cpl_fam_otr_chld_only_Fam,Tot_Families
101,19179,1689,1121,217,31,13,167,22418
102,30757,2925,1875,389,66,36,263,36311
103,17980,1412,1115,211,29,22,210,20978
104,10633,1002,679,203,24,12,108,12652
105,8864,676,562,167,25,19,153,10463
106,24835,2278,1630,361,65,25,264,29469
107,30393,2304,1437,340,53,20,210,34748
108,15103,1481,969,263,39,24,213,18091
109,9862,733,522,105,13,6,104,11353
110,14895,1185,838,200,30,31,185,17361
111,34294,2974,1679,412,69,26,260,39725
112,19406,1683,1011,246,32,17,197,22588
113,14144,945,758,164,21,12,144,16193
114,11691,1146,693,166,20,21,153,13898
115,33933,1636,950,415,37,16,77,37064
116,44193,2426,1623,977,84,48,204,49547
117,18737,1158,378,209,17,9,82,20590
118,25349,1243,479,160,8,7,57,27306
119,68664,3037,1615,1169,81,33,216,74823
120,32126,1449,504,306,16,10,71,34482
121,51976,2171,835,372,22,20,95,55487
122,31939,1744,765,234,26,9,77,34793
123,30891,2255,1684,612,67,41,227,35779
124,33098,2861,1848,486,81,37,225,38652
125,55694,2189,1096,895,61,38,161,60135
126,23285,878,349,254,15,4,52,24831
127,51327,2419,1593,1069,87,61,215,56770
128,28117,1625,826,210,9,10,65,30866
197,0,0,0,0,0,0,0,0
199,0,0,0,0,0,0,0,0
201,13951,1156,731,123,25,11,84,16082
202,13717,1119,700,99,21,7,79,15748
203,27822,2074,1110,179,30,8,129,31365
204,14500,1274,806,141,18,7,116,16859
205,22574,2000,1320,214,34,18,203,26368
206,41759,2243,682,226,18,12,88,45035
207,44444,1858,673,373,23,15,74,47447
208,48931,2498,933,278,33,5,78,52754
209,61409,3144,1682,669,57,17,154,67140
210,45130,2255,1273,531,38,25,128,49380
211,60716,4107,2035,595,72,23,176,67726
212,92523,5453,3068,1504,135,65,332,103089
213,88120,4954,2917,1354,128,88,344,97906
214,28145,2649,1426,264,51,16,128,32680
215,12589,994,705,128,25,12,125,14580
216,11625,889,600,119,19,11,78,13343
217,10944,787,561,74,9,11,79,12462
297,0,0,0,0,0,0,0,0
299,0,0,0,0,0,0,0,0
301,24287,2295,1300,236,51,19,105,28290
302,21527,1683,789,263,24,13,68,24367
303,37241,2197,1007,551,50,26,126,41195
304,21373,1288,589,155,13,4,44,23466
305,20259,1343,465,106,14,3,38,22232
306,19926,1782,1041,341,54,30,188,23355
307,11128,795,698,143,15,14,107,12896
308,21048,1717,1339,265,40,23,167,24595
309,53426,5200,2823,647,116,44,254,62509
310,31145,3008,2233,623,83,49,281,37432
311,31425,3110,2349,667,108,55,282,37986
312,16107,1312,912,157,34,10,106,18639
313,19823,2515,1760,323,83,35,170,24706
314,23307,1998,1300,248,37,23,115,27017
315,6301,497,382,281,40,28,163,7697
316,31662,2981,1571,308,50,20,143,36743
317,13615,1095,808,170,21,17,104,15821
318,20304,1951,1325,284,48,27,164,24099
319,20956,2250,1605,284,72,36,233,25438
397,0,0,0,0,0,0,0,0
399,0,0,0,0,0,0,0,0
401,30627,1927,810,197,24,4,83,33675
402,41828,3802,2224,595,95,44,254,48841
403,36098,3089,1612,314,52,15,151,41335
404,21901,1660,663,246,23,18,81,24595
405,9350,793,551,84,18,11,81,10891
406,6625,574,438,113,19,9,88,7872
407,14859,1371,947,151,25,9,171,17533
497,0,0,0,0,0,0,0,0
499,0,0,0,0,0,0,0,0
501,16716,1396,997,191,26,10,148,19487
502,8251,891,567,105,18,12,86,9934
503,16429,813,257,75,4,4,22,17613
504,26843,2126,1172,393,42,27,148,30752
505,62411,4273,2405,654,80,44,265,70139
506,52258,3701,2087,797,98,44,278,59260
507,44495,3470,2047,488,62,26,234,50824
509,11359,843,692,156,13,12,162,13233
510,7249,598,443,231,47,25,143,8727
511,10297,862,646,183,38,13,138,12168
597,0,0,0,0,0,0,0,0
599,0,0,0,0,0,0,0,0
601,19483,2046,1227,189,33,28,151,23160
602,11738,1142,771,109,19,8,92,13879
603,2994,306,176,36,6,5,35,3554
604,8804,1046,662,74,20,8,87,10693
697,0,0,0,0,0,0,0,0
699,0,0,0,0,0,0,0,0
701,12902,1155,719,243,23,9,86,15144
702,6837,520,313,605,80,56,256,8667
797,0,0,0,0,0,0,0,0
799,0,0,0,0,0,0,0,0
801,42718,3015,1600,439,43,23,165,48008
897,0,0,0,0,0,0,0,0
899,0,0,0,0,0,0,0,0
901,378,23,17,8,0,0,0,430
997,0,0,0,0,0,0,0,0
999,0,0,0,0,0,0,0,0
