SA4_CODE_2016,Pre_school_M,Pre_school_F,Pre_school_P,Infants_Primary_Government_M,Infants_Primary_Government_F,Infants_Primary_Government_P,Infants_Primary_Catholic_M,Infants_Primary_Catholic_F,Infants_Primary_Catholic_P,Infnts_Primry_Othr_Non_Govt_M,Infnts_Primry_Othr_Non_Govt_F,Infnts_Primry_Othr_Non_Govt_P,Infants_Primary_Tot_M,Infants_Primary_Tot_F,Infants_Primary_Tot_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_Non_Govt_M,Secondary_Other_Non_Govt_F,Secondary_Other_Non_Govt_P,Secondary_Tot_M,Secondary_Tot_F,Secondary_Tot_P,Tec_Furt_Educ_inst_Ft_15_24_M,Tec_Furt_Educ_inst_Ft_15_24_F,Tec_Furt_Educ_inst_Ft_15_24_P,Tec_Furt_Educ_inst_Ft_25_ov_M,Tec_Furt_Educ_inst_Ft_25_ov_F,Tec_Furt_Educ_inst_Ft_25_ov_P,Tec_Furt_Educ_inst_Pt_15_24_M,Tec_Furt_Educ_inst_Pt_15_24_F,Tec_Furt_Educ_inst_Pt_15_24_P,Tec_Furt_Educ_inst_Pt_25_ov_M,Tec_Furt_Educ_inst_Pt_25_ov_F,Tec_Furt_Educ_inst_Pt_25_ov_P,Tec_Furt_Educ_inst_F_Pt_ns_M,Tec_Furt_Educ_inst_F_Pt_ns_F,Tec_Furt_Educ_inst_F_Pt_ns_P,Tec_Furt_Educ_inst_Tot_M,Tec_Furt_Educ_inst_Tot_F,Tec_Furt_Educ_inst_Tot_P,Uni_othr_Tert_Inst_Ft_15_24_M,Uni_othr_Tert_Inst_Ft_15_24_F,Uni_othr_Tert_Inst_Ft_15_24_P,Uni_othr_Tert_Inst_Ft_25_ov_M,Uni_othr_Tert_Inst_Ft_25_ov_F,Uni_othr_Tert_Inst_Ft_25_ov_P,Uni_othr_Tert_Inst_Pt_15_24_M,Uni_othr_Tert_Inst_Pt_15_24_F,Uni_othr_Tert_Inst_Pt_15_24_P,Uni_othr_Tert_Inst_Pt_25_ov_M,Uni_othr_Tert_Inst_Pt_25_ov_F,Uni_othr_Tert_Inst_Pt_25_ov_P,Uni_othr_Tert_Inst_F_Pt_ns_M,Uni_othr_Tert_Inst_F_Pt_ns_F,Uni_othr_Tert_Inst_F_Pt_ns_P,Uni_other_Tert_Instit_Tot_M,Uni_other_Tert_Instit_Tot_F,Uni_other_Tert_Instit_Tot_P,Othr_typ_educ_inst_Ft_stud_M,Othr_typ_educ_inst_Ft_stud_F,Othr_typ_educ_inst_Ft_stud_P,Othr_typ_educ_inst_Pt_stud_M,Othr_typ_educ_inst_Pt_stud_F,Othr_typ_educ_inst_Pt_stud_P,Oth_typ_ed_instit_F_Pt_ns_M,Oth_typ_ed_instit_F_Pt_ns_F,Oth_typ_ed_instit_F_Pt_ns_P,Other_type_educ_instit_Tot_M,Other_type_educ_instit_Tot_F,Other_type_educ_instit_Tot_P,Type_educanl_institution_ns_M,Type_educanl_institution_ns_F,Type_educanl_institution_ns_P,Tot_M,Tot_F,Tot_P
201,1264,1226,2496,4344,4020,8358,1657,1667,3326,629,652,1280,6630,6334,12965,2380,2390,4771,1603,1469,3071,958,1028,1984,4942,4887,9827,226,212,439,87,152,235,352,219,570,330,456,785,23,15,34,1014,1053,2069,1313,1786,3104,452,701,1149,157,241,397,529,1034,1560,15,10,25,2462,3774,6236,158,189,347,265,450,717,11,10,18,441,649,1090,6092,6184,12268,22838,24108,46951
202,1269,1104,2374,4264,3985,8256,1547,1477,3026,527,525,1057,6344,5991,12332,2894,2836,5736,1186,1121,2300,734,763,1494,4814,4720,9530,253,299,555,133,257,395,384,233,620,307,523,830,9,6,19,1091,1319,2414,918,1598,2516,290,514,799,97,161,263,395,829,1224,8,13,22,1705,3119,4826,107,146,252,219,435,656,11,16,24,341,587,931,6845,6527,13376,22410,23373,45781
203,2436,2176,4612,7888,7510,15396,2433,2363,4799,1308,1241,2552,11630,11118,22748,4578,3977,8552,2234,2701,4934,2351,2072,4425,9165,8747,17911,487,564,1051,222,456,672,811,438,1253,732,995,1726,14,18,34,2260,2473,4735,2898,3560,6456,988,1202,2189,314,439,755,843,1677,2523,17,33,44,5059,6909,11972,319,402,717,531,970,1498,14,23,33,861,1391,2256,9876,9572,19445,41290,42385,83681
204,1348,1282,2630,4367,4091,8463,1958,1791,3757,616,688,1301,6939,6575,13511,3168,3037,6203,1550,1606,3155,698,756,1454,5413,5399,10804,354,304,663,133,268,399,584,368,949,403,750,1159,11,13,29,1489,1700,3194,341,666,1013,148,370,514,73,149,224,366,941,1312,3,12,15,930,2140,3067,248,180,433,210,468,678,17,12,23,479,656,1139,7364,7496,14861,23969,25248,49209
205,1972,1869,3844,7709,7215,14923,2158,2164,4326,938,919,1858,10806,10296,21103,4907,4865,9774,1901,1953,3854,1099,1243,2336,7904,8059,15965,343,434,783,152,413,561,747,474,1222,514,994,1507,18,22,36,1778,2333,4110,714,1233,1947,273,660,932,122,265,386,507,1343,1848,4,15,22,1623,3520,5146,253,277,534,354,785,1140,17,28,41,628,1085,1710,12370,12300,24663,37077,39463,76537
206,3412,3246,6654,8954,8280,17230,2782,2887,5668,1867,2092,3955,13596,13255,26852,4877,4494,9370,1970,2225,4198,2761,3124,5888,9608,9840,19453,1428,1505,2941,1643,2076,3717,645,482,1129,1753,2054,3806,33,43,76,5507,6162,11670,18360,23700,42056,7834,8850,16683,1049,1447,2500,4814,7143,11961,90,105,197,32152,41253,73397,1353,2005,3354,1820,2912,4735,28,61,83,3200,4977,8179,26837,27307,54142,94306,106043,200348
207,3031,2810,5841,9809,8829,18642,2855,2650,5497,1720,2078,3797,14375,13561,27935,5822,5507,11323,2747,2567,5315,4282,4785,9064,12845,12858,25702,860,584,1450,614,759,1366,526,216,741,775,962,1735,15,17,34,2792,2538,5328,10247,10229,20481,2889,2975,5873,769,813,1579,1811,2567,4377,41,67,111,15760,16655,32419,559,596,1156,842,1469,2318,22,23,43,1422,2094,3514,8345,9155,17504,58569,59671,118241
208,3926,3549,7471,10465,9913,20372,3756,3556,7312,3308,3390,6696,17536,16851,34385,4955,4774,9724,2977,3043,6018,5458,5246,10702,13390,13062,26447,770,597,1367,438,683,1126,703,292,1000,820,1111,1927,23,13,38,2751,2699,5451,7258,8255,15512,2062,2459,4516,658,733,1389,1779,2854,4632,45,68,109,11796,14365,26162,478,498,977,738,1433,2172,11,29,45,1237,1962,3197,10606,11661,22271,61240,64151,125390
209,4480,4207,8685,14871,13651,28516,4930,4834,9768,1336,1409,2745,21133,19901,41034,9213,8457,17672,4394,4456,8855,1928,1970,3896,15540,14881,30422,1106,1070,2176,689,1096,1782,1371,552,1926,1252,1575,2831,43,22,68,4466,4318,8783,7350,8610,15962,2979,3182,6164,666,800,1472,1817,2915,4739,46,58,104,12867,15570,28438,884,927,1814,992,1880,2873,32,33,66,1909,2842,4753,14543,15538,30077,74941,77248,152193
210,3096,2807,5903,9702,8820,18516,4441,4256,8698,1960,2016,3969,16100,15090,31191,6798,6629,13426,3212,3170,6382,2188,2259,4451,12202,12058,24257,1017,811,1826,562,825,1385,970,445,1417,851,1064,1914,46,32,79,3448,3170,6616,4378,5031,9409,1485,1567,3054,447,601,1050,1056,1726,2786,37,51,90,7409,8975,16388,882,969,1855,884,1600,2480,42,42,77,1804,2610,4415,12268,12484,24754,56334,57191,113525
