SA4_CODE_2016,M_15_19_yr_Married,M_15_19_yr_Separated,M_15_19_yr_Divorced,M_15_19_yr_Widowed,M_15_19_yr_Never_Married,M_15_19_yr_Tot,M_20_24_yr_Married,M_20_24_yr_Separated,M_20_24_yr_Divorced,M_20_24_yr_Widowed,M_20_24_yr_Never_Married,M_20_24_yr_Tot,M_25_34_yr_Married,M_25_34_yr_Separated,M_25_34_yr_Divorced,M_25_34_yr_Widowed,M_25_34_yr_Never_Married,M_25_34_yr_Tot,M_35_44_yr_Married,M_35_44_yr_Separated,M_35_44_yr_Divorced,M_35_44_yr_Widowed,M_35_44_yr_Never_Married,M_35_44_yr_Tot,M_45_54_yr_Married,M_45_54_yr_Separated,M_45_54_yr_Divorced,M_45_54_yr_Widowed,M_45_54_yr_Never_Married,M_45_54_yr_Tot,M_55_64_yr_Married,M_55_64_yr_Separated,M_55_64_yr_Divorced,M_55_64_yr_Widowed,M_55_64_yr_Never_Married,M_55_64_yr_Tot,M_65_74_yr_Married,M_65_74_yr_Separated,M_65_74_yr_Divorced,M_65_74_yr_Widowed,M_65_74_yr_Never_Married,M_65_74_yr_Tot,M_75_84_yr_Married,M_75_84_yr_Separated,M_75_84_yr_Divorced,M_75_84_yr_Widowed,M_75_84_yr_Never_Married,M_75_84_yr_Tot,M_85ov_Married,M_85ov_Separated,M_85ov_Divorced,M_85ov_Widowed,M_85ov_Never_Married,M_85ov_Tot,M_Tot_Married,M_Tot_Separated,M_Tot_Divorced,M_Tot_Widowed,M_Tot_Never_Married,M_Tot_Tot,F_15_19_yr_Married,F_15_19_yr_Separated,F_15_19_yr_Divorced,F_15_19_yr_Widowed,F_15_19_yr_Never_Married,F_15_19_yr_Tot,F_20_24_yr_Married,F_20_24_yr_Separated,F_20_24_yr_Divorced,F_20_24_yr_Widowed,F_20_24_yr_Never_Married,F_20_24_yr_Tot,F_25_34_yr_Married,F_25_34_yr_Separated,F_25_34_yr_Divorced,F_25_34_yr_Widowed,F_25_34_yr_Never_Married,F_25_34_yr_Tot,F_35_44_yr_Married,F_35_44_yr_Separated,F_35_44_yr_Divorced,F_35_44_yr_Widowed,F_35_44_yr_Never_Married,F_35_44_yr_Tot,F_45_54_yr_Married,F_45_54_yr_Separated,F_45_54_yr_Divorced,F_45_54_yr_Widowed,F_45_54_yr_Never_Married,F_45_54_yr_Tot,F_55_64_yr_Married,F_55_64_yr_Separated,F_55_64_yr_Divorced,F_55_64_yr_Widowed,F_55_64_yr_Never_Married,F_55_64_yr_Tot,F_65_74_yr_Married,F_65_74_yr_Separated,F_65_74_yr_Divorced,F_65_74_yr_Widowed,F_65_74_yr_Never_Married,F_65_74_yr_Tot,F_75_84_yr_Married,F_75_84_yr_Separated,F_75_84_yr_Divorced,F_75_84_yr_Widowed,F_75_84_yr_Never_Married,F_75_84_yr_Tot,F_85ov_Married,F_85ov_Separated,F_85ov_Divorced,F_85ov_Widowed,F_85ov_Never_Married,F_85ov_Tot,F_Tot_Married,F_Tot_Separated,F_Tot_Divorced,F_Tot_Widowed,F_Tot_Never_Married,F_Tot_Tot,P_15_19_yr_Married,P_15_19_yr_Separated,P_15_19_yr_Divorced,P_15_19_yr_Widowed,P_15_19_yr_Never_Married,P_15_19_yr_Tot,P_20_24_yr_Married,P_20_24_yr_Separated,P_20_24_yr_Divorced,P_20_24_yr_Widowed,P_20_24_yr_Never_Married,P_20_24_yr_Tot,P_25_34_yr_Married,P_25_34_yr_Separated,P_25_34_yr_Divorced,P_25_34_yr_Widowed,P_25_34_yr_Never_Married,P_25_34_yr_Tot,P_35_44_yr_Married,P_35_44_yr_Separated,P_35_44_yr_Divorced,P_35_44_yr_Widowed,P_35_44_yr_Never_Married,P_35_44_yr_Tot,P_45_54_yr_Married,P_45_54_yr_Separated,P_45_54_yr_Divorced,P_45_54_yr_Widowed,P_45_54_yr_Never_Married,P_45_54_yr_Tot,P_55_64_yr_Married,P_55_64_yr_Separated,P_55_64_yr_Divorced,P_55_64_yr_Widowed,P_55_64_yr_Never_Married,P_55_64_yr_Tot,P_65_74_yr_Married,P_65_74_yr_Separated,P_65_74_yr_Divorced,P_65_74_yr_Widowed,P_65_74_yr_Never_Married,P_65_74_yr_Tot,P_75_84_yr_Married,P_75_84_yr_Separated,P_75_84_yr_Divorced,P_75_84_yr_Widowed,P_75_84_yr_Never_Married,P_75_84_yr_Tot,P_85ov_Married,P_85ov_Separated,P_85ov_Divorced,P_85ov_Widowed,P_85ov_Never_Married,P_85ov_Tot,P_Tot_Married,P_Tot_Separated,P_Tot_Divorced,P_Tot_Widowed,P_Tot_Never_Married,P_Tot_Tot
101,14,0,3,3,6467,6492,172,13,3,5,5154,5345,3764,194,186,16,6877,11043,7163,519,745,32,4044,12503,8984,823,2009,115,3565,15491,10091,824,2683,328,2328,16249,9356,578,2000,655,919,13507,4362,210,654,874,332,6426,1010,41,105,687,127,1966,44919,3201,8379,2707,29810,89016,7,0,6,5,6150,6167,366,40,11,4,4604,5022,4849,320,322,20,5785,11293,7800,647,1074,97,3306,12921,9554,903,2533,340,2684,16013,10276,730,2958,903,1621,16485,8121,368,2004,1978,568,13050,3022,133,617,2823,225,6822,533,20,158,2501,84,3295,44527,3157,9684,8676,25021,91060,27,4,6,3,12618,12659,539,52,17,6,9752,10364,8609,517,505,37,12661,22338,14961,1164,1823,129,7352,25417,18534,1724,4538,456,6247,31504,20365,1556,5638,1228,3947,32731,17481,943,4005,2633,1483,26553,7390,344,1264,3698,552,13249,1541,60,263,3189,206,5265,89448,6361,18061,11382,54823,180076
102,16,5,8,0,10094,10117,247,19,7,3,8987,9267,5749,328,285,14,10872,17244,10906,914,1263,55,5901,19032,12119,1244,2901,152,4643,21054,12570,1066,3415,384,2623,20057,11634,789,2762,892,1177,17251,6602,274,1025,1334,480,9718,2025,63,220,1413,149,3866,61857,4701,11885,4251,44915,127602,21,3,3,3,9778,9808,462,49,9,8,8375,8908,7565,606,448,34,9369,18037,11740,1312,1997,142,5148,20343,12629,1619,4215,480,3635,22575,12721,1315,4910,1358,2003,22308,10780,706,3885,3066,909,19339,4995,206,1512,4907,360,11976,1131,43,395,4665,183,6407,62039,5864,17383,14661,39759,139707,37,13,11,3,19869,19930,711,73,20,12,17362,18174,13310,937,739,49,20243,35278,22646,2225,3256,200,11048,39376,24754,2857,7118,630,8277,43630,25291,2388,8328,1743,4626,42364,22412,1495,6644,3957,2088,36591,11593,476,2540,6243,844,21691,3152,107,613,6076,328,10278,123900,10562,29266,18906,84675,267307
103,11,0,7,0,6672,6692,233,19,3,3,5711,5972,4094,241,175,11,7067,11580,6671,528,715,27,3666,11614,7733,747,1662,108,3120,13358,8536,672,2081,248,1895,13438,7574,493,1712,620,913,11313,3822,173,554,852,410,5812,969,23,83,658,92,1824,39639,2898,6982,2536,29550,81605,10,4,6,6,6378,6398,390,37,10,9,5146,5590,5058,351,255,21,5826,11515,7154,690,1064,83,3050,12040,8267,848,2023,294,2224,13652,8423,648,2286,828,1141,13329,6654,407,1659,1911,533,11170,2777,117,568,2958,278,6696,490,30,126,2468,138,3247,39221,3135,7997,8586,24709,83644,22,3,12,7,13046,13093,627,52,11,11,10853,11564,9152,598,430,36,12892,23097,13819,1219,1775,115,6721,23652,15994,1594,3680,402,5343,27016,16961,1319,4371,1081,3037,26773,14230,907,3368,2530,1452,22483,6600,284,1124,3812,684,12507,1456,53,209,3124,230,5075,78858,6028,14982,11122,54256,165251
104,7,0,3,0,4137,4155,118,11,3,3,3042,3173,1993,140,119,6,3957,6218,3654,328,451,31,2534,6994,4698,514,1142,70,2102,8529,5970,592,1965,202,1671,10403,5890,401,1487,427,596,8799,3102,127,527,599,203,4559,849,38,67,502,70,1528,26277,2153,5774,1840,18308,54349,23,0,4,0,3843,3863,202,28,10,0,2719,2963,2614,249,160,19,3496,6535,4023,494,768,87,2319,7695,5159,681,1772,261,1765,9637,6265,629,2289,614,1083,10882,5241,293,1566,1347,378,8834,2318,90,544,2072,116,5139,430,15,124,1901,62,2526,26285,2476,7235,6298,15785,58077,28,5,8,0,7975,8016,321,36,13,5,5758,6135,4608,384,277,26,7456,12753,7676,821,1222,111,4855,14690,9852,1193,2918,331,3871,18165,12238,1221,4253,813,2754,21286,11128,701,3052,1772,977,17629,5418,218,1075,2672,316,9702,1273,51,193,2406,126,4052,52560,4632,13013,8134,34091,112427
105,8,3,0,4,3316,3333,131,8,0,5,3134,3277,2202,147,99,14,4366,6823,3304,274,356,18,2261,6213,3893,402,908,61,2102,7369,4507,450,1194,179,1384,7720,3812,331,953,383,578,6055,1970,107,325,464,231,3100,553,10,66,359,41,1033,20382,1730,3906,1477,17421,44921,8,0,0,5,3156,3171,201,26,3,3,2950,3184,2747,227,142,19,4052,7181,3426,375,480,39,2125,6444,4152,485,1107,189,1611,7539,4505,431,1290,491,873,7581,3322,228,806,1110,301,5769,1484,57,284,1705,111,3652,268,10,70,1290,64,1708,20108,1836,4189,4854,15243,46226,17,4,0,7,6475,6502,330,30,7,9,6080,6453,4946,375,239,29,8414,14006,6725,644,835,55,4393,12659,8047,890,2020,247,3710,14907,9015,875,2484,668,2260,15305,7129,553,1760,1495,879,11821,3455,166,609,2169,347,6744,826,22,138,1654,103,2741,40491,3566,8094,6333,32660,91150
106,18,4,9,3,8382,8419,269,23,13,9,7339,7650,5627,435,308,14,9149,15527,9177,867,1071,48,4967,16132,10134,964,2318,135,3536,17085,10933,787,2627,363,1850,16557,9704,488,1924,705,791,13615,4543,159,567,882,261,6416,988,32,97,669,90,1877,51392,3756,8936,2829,36362,103276,11,7,0,0,7967,7993,504,56,16,9,6858,7437,7150,674,457,44,7764,16078,9777,998,1540,126,3898,16340,10625,1154,3056,375,2482,17691,10861,787,3218,1017,1132,17015,8545,362,2115,2215,463,13703,3236,105,639,3098,190,7261,515,9,152,2563,105,3341,51228,4156,11189,9449,30859,106875,33,16,6,5,16353,16410,771,82,24,10,14198,15088,12773,1102,762,56,16910,31603,18958,1867,2608,177,8871,32481,20756,2120,5371,511,6019,34777,21790,1577,5849,1381,2977,33575,18247,850,4043,2922,1258,27320,7781,262,1209,3975,452,13680,1510,41,253,3230,190,5219,102626,7915,20121,12274,67215,210150
107,23,0,0,0,9694,9720,265,20,8,10,10564,10863,6128,243,244,14,11239,17870,11135,724,1066,42,5052,18022,11543,924,2326,139,3961,18897,11587,800,2605,324,2195,17511,9877,484,1730,672,814,13576,5558,170,613,1057,312,7707,1584,38,101,919,82,2721,57699,3398,8703,3178,43914,116898,21,4,4,7,9233,9264,545,34,15,6,9387,9989,8040,468,420,30,9070,18027,11752,980,1676,115,4245,18770,11940,1133,3252,395,2912,19629,11621,869,3626,1107,1496,18721,8920,438,2283,2349,484,14464,4215,125,816,4001,195,9355,797,19,201,3492,102,4612,57849,4074,12295,11497,37111,122829,40,3,3,6,18931,18979,817,51,25,15,19950,20855,14166,712,663,46,20307,35895,22891,1705,2743,163,9294,36792,23481,2059,5575,530,6871,38525,23214,1673,6233,1427,3691,36239,18791,923,4014,3025,1293,28043,9775,297,1432,5060,500,17066,2382,57,297,4412,186,7332,115554,7479,20996,14679,81027,239730
108,9,0,4,0,5973,5993,159,11,6,4,4145,4327,2529,204,122,9,5426,8293,5177,487,693,28,3505,9892,6875,821,1824,115,3401,13038,9375,949,3016,338,2275,15954,11236,748,2632,780,938,16324,5977,240,1003,1157,339,8711,1692,39,162,1037,99,3030,43026,3503,9456,3469,26099,85557,3,4,4,3,5697,5706,269,38,14,6,3866,4197,3443,367,258,23,4883,8973,5775,756,1060,92,3142,10824,7726,1012,2579,336,2535,14187,10180,929,3457,1076,1524,17167,10237,529,2726,2491,638,16619,4498,159,896,3745,243,9547,865,30,218,3482,118,4718,43000,3828,11211,11256,22642,91932,16,3,7,3,11664,11701,427,50,15,17,8018,8522,5975,569,378,31,10303,17264,10958,1238,1746,119,6651,20710,14596,1831,4403,456,5939,27232,19550,1878,6472,1411,3798,33119,21465,1279,5357,3268,1571,32942,10476,401,1896,4910,577,18262,2555,70,385,4521,217,7749,86028,7324,20670,14728,48744,177488
109,19,0,3,0,3490,3514,91,7,0,3,3084,3184,2146,108,89,6,3708,6053,3636,269,373,13,1904,6199,4238,403,940,54,1626,7264,5183,409,1294,172,1036,8087,4799,313,946,376,483,6909,2507,94,356,513,181,3652,661,9,66,467,69,1264,23273,1606,4070,1604,15574,46131,12,0,3,0,3376,3393,196,18,3,6,2900,3128,2760,189,120,12,3274,6358,3984,380,584,48,1641,6635,4555,435,1261,142,1185,7578,5298,411,1418,472,634,8236,4346,218,950,1079,220,6811,1881,63,303,1742,140,4140,320,6,67,1501,53,1939,23358,1722,4720,5000,13417,48220,24,0,5,0,6866,6902,289,23,6,9,5990,6312,4905,296,209,24,6977,12415,7619,651,958,59,3551,12838,8797,836,2204,193,2813,14843,10482,820,2717,642,1668,16327,9146,527,1894,1455,698,13722,4390,161,663,2259,318,7784,974,19,131,1963,120,3208,46631,3329,8787,6606,28998,94353
110,24,5,4,3,5959,5990,188,17,8,4,5010,5234,3377,233,143,18,6069,9850,5587,471,585,27,3134,9806,6622,654,1362,87,2727,11444,7548,647,1904,254,1798,12152,6775,429,1413,581,789,9980,3569,145,429,777,315,5229,797,20,70,515,64,1470,34488,2622,5919,2261,25863,71154,15,3,0,0,5578,5599,354,36,8,4,4865,5270,4289,373,259,39,5412,10370,6021,588,783,98,2968,10454,7105,775,1701,267,2112,11957,7642,679,2088,715,1162,12279,5994,329,1415,1849,413,9993,2578,85,448,2721,224,6054,412,17,109,2142,106,2780,34408,2880,6809,7837,22838,74766,36,5,6,4,11539,11589,542,53,22,12,9881,10511,7667,607,403,54,11479,20212,11608,1063,1367,127,6101,20263,13721,1429,3068,345,4839,23405,15195,1324,3990,973,2956,24436,12767,759,2829,2432,1196,19976,6148,229,875,3495,539,11283,1208,34,173,2661,170,4248,68896,5504,12732,10095,48698,145922
