SA4_CODE_2016,M_15_19_yr_Marrd_reg_marrge,M_15_19_yr_Married_de_facto,M_15_19_yr_Not_married,M_15_19_yr_Total,M_20_24_yr_Marrd_reg_marrge,M_20_24_yr_Married_de_facto,M_20_24_yr_Not_married,M_20_24_yr_Total,M_25_34_yr_Marrd_reg_marrge,M_25_34_yr_Married_de_facto,M_25_34_yr_Not_married,M_25_34_yr_Total,M_35_44_yr_Marrd_reg_marrge,M_35_44_yr_Married_de_facto,M_35_44_yr_Not_married,M_35_44_yr_Total,M_45_54_yr_Marrd_reg_marrge,M_45_54_yr_Married_de_facto,M_45_54_yr_Not_married,M_45_54_yr_Total,M_55_64_yr_Marrd_reg_marrge,M_55_64_yr_Married_de_facto,M_55_64_yr_Not_married,M_55_64_yr_Total,M_65_74_yr_Marrd_reg_marrge,M_65_74_yr_Married_de_facto,M_65_74_yr_Not_married,M_65_74_yr_Total,M_75_84_yr_Marrd_reg_marrge,M_75_84_yr_Married_de_facto,M_75_84_yr_Not_married,M_75_84_yr_Total,M_85ov_Marrd_reg_marrge,M_85ov_Married_de_facto,M_85ov_Not_married,M_85ov_Total,M_Tot_Marrd_reg_marrge,M_Tot_Married_de_facto,M_Tot_Not_married,M_Tot_Total,F_15_19_yr_Marrd_reg_marrge,F_15_19_yr_Married_de_facto,F_15_19_yr_Not_married,F_15_19_yr_Total,F_20_24_yr_Marrd_reg_marrge,F_20_24_yr_Married_de_facto,F_20_24_yr_Not_married,F_20_24_yr_Total,F_25_34_yr_Marrd_reg_marrge,F_25_34_yr_Married_de_facto,F_25_34_yr_Not_married,F_25_34_yr_Total,F_35_44_yr_Marrd_reg_marrge,F_35_44_yr_Married_de_facto,F_35_44_yr_Not_married,F_35_44_yr_Total,F_45_54_yr_Marrd_reg_marrge,F_45_54_yr_Married_de_facto,F_45_54_yr_Not_married,F_45_54_yr_Total,F_55_64_yr_Marrd_reg_marrge,F_55_64_yr_Married_de_facto,F_55_64_yr_Not_married,F_55_64_yr_Total,F_65_74_yr_Marrd_reg_marrge,F_65_74_yr_Married_de_facto,F_65_74_yr_Not_married,F_65_74_yr_Total,F_75_84_yr_Marrd_reg_marrge,F_75_84_yr_Married_de_facto,F_75_84_yr_Not_married,F_75_84_yr_Total,F_85ov_Marrd_reg_marrge,F_85ov_Married_de_facto,F_85ov_Not_married,F_85ov_Total,F_Tot_Marrd_reg_marrge,F_Tot_Married_de_facto,F_Tot_Not_married,F_Tot_Total,P_15_19_yr_Marrd_reg_marrge,P_15_19_yr_Married_de_facto,P_15_19_yr_Not_married,P_15_19_yr_Total,P_20_24_yr_Marrd_reg_marrge,P_20_24_yr_Married_de_facto,P_20_24_yr_Not_married,P_20_24_yr_Total,P_25_34_yr_Marrd_reg_marrge,P_25_34_yr_Married_de_facto,P_25_34_yr_Not_married,P_25_34_yr_Total,P_35_44_yr_Marrd_reg_marrge,P_35_44_yr_Married_de_facto,P_35_44_yr_Not_married,P_35_44_yr_Total,P_45_54_yr_Marrd_reg_marrge,P_45_54_yr_Married_de_facto,P_45_54_yr_Not_married,P_45_54_yr_Total,P_55_64_yr_Marrd_reg_marrge,P_55_64_yr_Married_de_facto,P_55_64_yr_Not_married,P_55_64_yr_Total,P_65_74_yr_Marrd_reg_marrge,P_65_74_yr_Married_de_facto,P_65_74_yr_Not_married,P_65_74_yr_Total,P_75_84_yr_Marrd_reg_marrge,P_75_84_yr_Married_de_facto,P_75_84_yr_Not_married,P_75_84_yr_Total,P_85ov_Marrd_reg_marrge,P_85ov_Married_de_facto,P_85ov_Not_married,P_85ov_Total,P_Tot_Marrd_reg_marrge,P_Tot_Married_de_facto,P_Tot_Not_married,P_Tot_Total
101,0,62,5699,5765,122,697,3539,4353,3221,2122,3865,9210,6225,1704,2757,10691,7789,1810,3802,13399,8571,1449,4020,14044,7807,776,2868,11447,3634,206,1533,5376,763,39,622,1426,38142,8859,28698,75707,4,150,5298,5449,316,1018,2875,4212,4298,2301,3328,9926,7059,1741,2932,11733,8437,1892,3997,14333,8764,1329,4207,14301,6801,556,3760,11117,2505,135,3019,5650,360,20,1731,2112,38551,9136,31147,78831,6,219,10989,11215,439,1712,6415,8565,7517,4430,7193,19134,13289,3441,5683,22420,16227,3697,7804,27729,17341,2777,8230,28343,14611,1333,6625,22564,6136,339,4550,11025,1129,54,2354,3536,76695,17998,59844,154539
102,3,63,9280,9351,202,880,7148,8231,5181,3437,6781,15397,10035,2697,4529,17265,11050,2450,5608,19116,11325,1564,5180,18072,10230,894,4105,15236,5801,305,2390,8503,1576,64,1322,2960,55409,12362,46355,114121,9,145,8929,9085,394,1419,6058,7873,6961,3611,5940,16515,10911,2678,5368,18957,11647,2385,6896,20926,11462,1546,7240,20252,9505,715,6988,17211,4336,176,5846,10362,800,51,3539,4383,56019,12724,56814,125556,16,210,18214,18437,596,2302,13210,16103,12139,7046,12728,31917,20944,5380,9902,36222,22695,4840,12508,40038,22788,3111,12417,38322,19735,1609,11096,32439,10137,482,8236,18863,2375,110,4859,7345,111424,25087,103170,239681
103,0,81,5493,5577,173,842,3509,4525,3484,2283,3700,9467,5812,1385,2593,9789,6672,1338,3460,11469,7298,921,3329,11550,6282,521,2702,9507,3158,150,1540,4839,723,24,600,1335,33603,7530,26912,68052,6,188,5069,5264,343,1204,2901,4453,4529,2245,3442,10219,6470,1446,2884,10800,7314,1364,3481,12158,7228,788,3591,11603,5540,400,3534,9473,2291,76,3132,5501,353,14,1673,2037,34080,7731,29701,71514,8,267,10559,10838,516,2048,6412,8977,8020,4525,7139,19687,12273,2833,5479,20588,13984,2703,6938,23623,14530,1702,6922,23156,11822,921,6233,18978,5451,225,4670,10341,1075,33,2270,3378,67681,15261,56617,139566
104,4,36,3675,3721,87,368,2171,2626,1706,1206,2357,5268,3193,1054,1833,6077,4129,1045,2347,7517,5120,983,2909,9007,5044,566,1995,7613,2650,167,1117,3927,660,26,444,1136,22597,5452,18850,46897,9,80,3340,3434,175,553,1761,2497,2305,1280,2247,5834,3666,1126,2229,7019,4584,1158,2919,8667,5427,945,3220,9592,4490,410,2774,7674,1982,90,2303,4379,315,19,1315,1645,22954,5672,22108,50738,12,120,7022,7151,265,925,3932,5122,4017,2491,4598,11103,6861,2180,4063,13099,8708,2206,5267,16185,10544,1925,6127,18604,9537,977,4771,15285,4634,255,3424,8310,973,38,1765,2774,45551,11123,40964,97636
105,0,41,2760,2809,86,524,1903,2511,1803,1262,2293,5358,2751,835,1492,5073,3238,804,2112,6158,3739,567,2181,6488,3110,265,1655,5030,1628,77,870,2572,391,13,332,731,16742,4396,15595,36736,0,84,2590,2675,171,715,1724,2606,2372,1385,2393,6154,3007,819,1847,5673,3547,795,2139,6482,3781,521,2164,6472,2741,204,1909,4854,1183,46,1722,2951,173,8,843,1022,16975,4584,17327,38886,4,127,5350,5481,253,1239,3625,5120,4176,2651,4685,11510,5756,1663,3335,10748,6787,1601,4254,12638,7523,1091,4347,12961,5853,474,3560,9887,2809,121,2594,5528,562,21,1169,1753,33719,8982,32922,75623
106,0,89,7467,7557,198,1075,5094,6364,4885,3198,4983,13064,8115,2208,3743,14062,8984,1826,4238,15047,9551,1197,3806,14560,8343,622,2805,11769,3877,144,1459,5478,763,35,606,1398,44718,10397,34195,89310,3,196,7010,7213,449,1632,4389,6471,6437,3350,4656,14442,8979,2129,3940,15051,9683,1840,4642,16165,9582,1081,4448,15113,7340,470,4081,11896,2731,89,3299,6128,357,20,1767,2143,45559,10815,38243,94623,5,283,14485,14770,648,2711,9486,12840,11319,6547,9636,27503,17089,4340,7684,29113,18670,3665,8877,31218,19131,2279,8257,29670,15685,1096,6888,23663,6605,234,4762,11604,1118,57,2375,3545,90277,21210,72442,183930
107,4,91,8819,8907,198,843,8435,9483,5420,3019,7494,15931,10244,2088,4119,16449,10627,1785,4798,17202,10400,1220,4109,15728,8684,527,2740,11951,4843,202,1665,6707,1228,34,827,2087,51639,9805,43004,104449,8,142,8170,8327,437,1251,7072,8763,7292,3177,5893,16359,11010,2130,4463,17600,11100,1764,5456,18323,10506,1083,5480,17066,7810,450,4578,12836,3609,122,4342,8074,549,21,2565,3132,52321,10139,48028,110490,13,234,16988,17236,635,2099,15513,18243,12715,6193,13381,32291,21253,4215,8586,34053,21726,3552,10257,35526,20900,2307,9591,32794,16493,979,7314,24792,8447,325,6014,14783,1780,50,3387,5222,103961,19947,91028,214938
108,3,46,5353,5403,121,584,2872,3580,2194,1571,3202,6972,4629,1410,2638,8677,6005,1575,3868,11438,8077,1435,4421,13935,9567,926,3545,14035,5148,290,2090,7533,1319,49,909,2278,37063,7884,28897,73848,0,123,4986,5110,227,807,2512,3545,3076,1720,3204,8008,5281,1504,3138,9926,6857,1619,4317,12791,8794,1401,4964,15164,8750,723,4905,14381,3855,192,4153,8201,623,25,2489,3138,37477,8117,34676,80264,6,170,10342,10515,352,1391,5382,7129,5276,3291,6411,14977,9914,2912,5774,18604,12862,3192,8185,24235,16880,2831,9387,29095,18311,1647,8451,28414,9000,487,6246,15735,1940,75,3401,5410,74538,16005,63575,154114
109,6,50,2988,3046,67,451,2101,2624,1864,1229,2022,5108,3250,749,1423,5427,3685,730,1887,6299,4381,599,1973,6956,3918,301,1507,5725,1957,91,873,2925,482,8,405,894,19609,4209,15183,39008,7,99,2800,2911,169,639,1755,2561,2454,1232,1889,5574,3601,790,1608,5999,4047,763,1988,6797,4470,536,2063,7069,3473,243,1894,5609,1456,51,1803,3312,216,8,948,1164,19898,4371,16745,41011,9,157,5784,5951,237,1096,3850,5183,4319,2462,3907,10683,6854,1546,3030,11431,7734,1491,3881,13102,8852,1138,4039,14030,7393,543,3398,11334,3411,148,2681,6237,697,12,1352,2060,39505,8579,31931,80013
110,8,76,4647,4730,138,781,3105,4028,2819,1974,3435,8231,4846,1247,2348,8440,5710,1162,3066,9932,6375,858,3172,10409,5636,431,2351,8420,2960,118,1299,4367,593,13,451,1057,29095,6655,23864,59616,10,196,4173,4380,283,1120,2661,4064,3732,1964,3346,9041,5351,1262,2760,9372,6200,1171,3227,10603,6491,765,3353,10608,4985,312,3175,8476,2099,64,2780,4939,261,12,1489,1769,29416,6865,26967,63246,14,273,8816,9113,425,1906,5768,8094,6556,3931,6784,17268,10194,2506,5108,17807,11913,2334,6290,20537,12870,1624,6522,21016,10624,742,5526,16897,5056,176,4080,9308,859,26,1941,2825,58511,13521,50836,122865
