SA4_CODE_2016,IA_DS_Separate_house,IA_DS_SemD_ro_tr_h_th,IA_DS_Flat_or_Apart,IA_DS_Other_dwelling,IA_DS_Not_stated,IA_Total,I_NA_DS_Separate_house,I_NA_DS_SemD_ro_tr_h_th,I_NA_DS_Flat_or_Apart,I_NA_DS_Other_dwelling,I_NA_DS_Not_stated,I_NA_Total,IC_NS_DS_Separate_house,IC_NS_DS_SemD_ro_tr_h_th,IC_NS_DS_Flat_or_Apart,IC_NS_DS_Other_dwelling,IC_NS_DS_Not_stated,IC_not_stated_Total,Total_DS_Separate_house,Total_DS_SemD_ro_tr_h_th,Total_DS_Flat_or_Apart,Total_DS_Other_dwelling,Total_DS_Not_stated,Total_Total
101,55000,4959,3351,604,533,64453,11544,1880,1425,370,116,15337,1813,317,229,72,86,2521,68358,7159,5001,1043,739,82309
102,79953,10326,6375,664,297,97614,12845,4060,2460,419,123,19899,2278,636,418,61,131,3532,95068,15026,9260,1150,545,121048
103,50725,2587,1272,536,434,55557,13689,1537,1051,221,198,16703,1930,195,140,56,158,2489,66348,4324,2466,819,791,74746
104,33576,3157,2463,743,331,40268,6766,1278,1168,490,77,9779,1036,199,187,85,67,1571,41380,4640,3813,1318,467,51614
105,26421,847,1032,421,219,28942,9063,521,868,218,91,10765,1242,43,123,80,45,1535,36730,1421,2022,722,351,41240
106,66109,5954,1478,527,438,74513,12859,2447,890,307,194,16700,1900,327,138,155,162,2681,80868,8736,2512,986,789,93894
107,63960,9748,10242,531,391,84866,10714,3140,3264,327,106,17550,1678,454,529,65,146,2867,76356,13339,14037,920,644,105288
108,51900,5082,3903,1037,418,62343,12614,2620,2273,745,116,18369,1799,331,312,128,71,2630,66319,8031,6484,1907,608,83341
109,29276,2553,806,346,154,33135,7192,1252,599,202,56,9312,1048,180,104,42,25,1395,37520,3985,1514,590,234,43846
110,43608,2165,1311,530,363,47978,13233,1245,1103,323,127,16033,1812,198,177,63,47,2291,58659,3610,2595,907,536,66307
111,90122,11858,7068,472,304,109811,15004,4058,2947,318,61,22381,2235,514,427,56,74,3304,107357,16426,10437,841,438,135506
